demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,Rangetype,MinCostDelay,MinDelayDelay,ApIt,ApTime,BpIt,BpTime
0,715,1557,0,382.5,0,1,1,2,93,-1,371,153,1,1711,1,568
1,286,210,0,330.0,0,1,1,2,127,-1,222,132,1,1500,1,559
2,383,132,0,257.5,0,1,1,2,131,-1,389,103,1,1508,1,595
3,1522,260,0,262.5,0,1,1,2,127,-1,243,105,1,1522,1,519
4,900,1619,0,322.5,0,1,1,2,90,-1,290,129,1,1434,1,574
5,497,605,0,262.5,0,1,1,2,132,-1,188,105,1,1437,1,567
6,1808,1014,0,162.5,0,1,1,2,227,-1,292,65,1,1471,1,523
7,1272,354,0,320.0,0,1,1,2,169,-1,348,128,1,1492,1,561
8,1661,1729,0,265.0,0,1,1,2,137,-1,607,106,1,1485,1,509
9,130,710,0,325.0,0,1,1,2,64,-1,190,130,1,1474,1,520
10,732,414,0,337.5,0,1,1,2,70,-1,286,135,1,1453,1,603
11,764,1680,0,265.0,0,1,1,2,81,-1,187,106,1,1475,1,533
12,592,189,0,325.0,0,1,1,2,133,-1,335,130,1,1470,1,539
13,954,21,0,417.5,0,1,1,2,134,-1,496,167,1,1484,1,567
14,1575,21,0,397.5,0,1,1,2,107,-1,237,159,1,1392,1,547
15,231,314,0,232.5,0,1,1,2,126,-1,190,93,1,1490,1,609
16,698,106,0,260.0,0,1,1,2,88,-1,273,104,1,1464,1,615
17,574,1598,0,350.0,0,1,1,2,181,-1,448,140,1,1487,1,535
18,77,1071,0,392.5,0,1,1,2,111,-1,412,157,1,1486,1,532
19,555,1885,0,377.5,0,1,1,2,137,-1,317,151,1,1485,1,604
20,591,450,0,222.5,0,1,1,2,146,-1,595,89,1,1457,1,514
21,1557,1073,0,225.0,0,1,1,2,78,-1,207,90,1,1448,1,520
22,1512,289,0,285.0,0,1,1,2,139,-1,465,114,1,1450,1,600
23,1488,543,0,237.5,0,1,1,2,164,-1,311,95,1,1568,1,528
