LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,686,0,60,10000,38,1,0
1,686,0,0,56,10000,99,2,1|3107
2,0,829,0,81,10000,69,1,2
3,829,0,0,95,10000,32,4,3|3863|3866|3868
4,0,947,0,21,10000,57,2,4|2
5,947,0,0,95,10000,4,2,5|4376
6,0,1048,0,95,10000,37,2,6|1
7,1048,0,0,78,10000,30,1,7
8,0,1157,0,7,10000,33,2,8|1
9,1157,0,0,49,10000,93,1,9
10,0,1367,0,61,10000,53,3,10|1|2
11,1367,0,0,75,10000,25,2,11|6426
12,0,1576,0,13,10000,4,2,12|1
13,1576,0,0,91,10000,34,5,13|7434|7435|7436|7437
14,0,1653,0,27,10000,25,2,14|1
15,1653,0,0,34,10000,13,1,15
16,0,1705,0,38,10000,93,2,16|3
17,1705,0,0,78,10000,59,2,17|8026
18,0,1840,0,98,10000,16,1,18
19,1840,0,0,30,10000,74,1,19
20,0,1963,0,65,10000,11,2,20|1
21,1963,0,0,74,10000,47,1,21
22,0,3077,0,42,10000,18,2,22|2
23,3077,0,0,23,10000,12,1,23
24,0,3385,0,81,10000,36,3,24|1|2
25,3385,0,0,64,10000,54,3,25|15972|15974
26,0,3686,0,78,10000,69,3,26|1|2
27,3686,0,0,41,10000,17,3,27|17297|17305
28,0,3818,0,72,10000,77,1,28
29,3818,0,0,73,10000,86,2,29|17923
30,1,64,0,63,10000,35,2,30|5
31,64,1,0,49,10000,42,3,31|302|304
32,1,116,0,95,10000,47,2,32|5
33,116,1,0,70,10000,75,2,33|545
34,1,202,0,50,10000,18,3,34|5|7
35,202,1,0,61,10000,73,3,35|904|905
36,1,212,0,18,10000,52,2,36|6
37,212,1,0,59,10000,56,3,37|948|949
38,1,516,0,63,10000,65,2,38|5
39,516,1,0,37,10000,41,1,39
40,1,619,0,46,10000,56,4,40|5|6|7
41,619,1,0,14,10000,36,1,41
42,1,721,0,81,10000,91,1,42
43,721,1,0,26,10000,43,1,43
44,1,753,0,42,10000,68,2,44|7
45,753,1,0,84,10000,82,4,45|3486|3488|3489
46,1,1234,0,1,10000,67,2,46|5
47,1234,1,0,12,10000,78,1,47
48,1,1743,0,23,10000,79,3,48|5|7
49,1743,1,0,84,10000,99,5,49|8200|8201|8202|8203
50,1,1765,0,49,10000,30,1,50
51,1765,1,0,68,10000,14,3,51|8288|8289
52,1,2313,0,13,10000,81,3,52|5|7
53,2313,1,0,29,10000,95,1,53
54,1,2756,0,28,10000,34,3,54|5|8
55,2756,1,0,94,10000,70,3,55|12901|12903
56,1,2923,0,17,10000,61,2,56|7
57,2923,1,0,40,10000,91,1,57
58,1,2981,0,62,10000,40,3,58|5|8
59,2981,1,0,46,10000,62,1,59
60,1,3405,0,5,10000,20,1,60
61,3405,1,0,24,10000,96,2,61|16063
62,1,3416,0,65,10000,73,2,62|5
63,3416,1,0,51,10000,18,1,63
64,1,3817,0,32,10000,87,3,64|5|7
65,3817,1,0,17,10000,63,3,65|17917|17919
66,2,166,0,68,10000,34,1,66
67,166,2,0,99,10000,24,2,67|749
68,2,253,0,44,10000,89,2,68|11
69,253,2,0,24,10000,94,2,69|1131
70,2,294,0,39,10000,20,1,70
71,294,2,0,12,10000,96,1,71
72,2,568,0,47,10000,46,2,72|12
73,568,2,0,1,10000,56,2,73|2555
74,2,857,0,7,10000,30,2,74|11
75,857,2,0,48,10000,7,4,75|3998|3999|4000
76,2,893,0,43,10000,14,1,76
77,893,2,0,18,10000,3,3,77|4156|4160
78,2,1038,0,7,10000,15,2,78|11
79,1038,2,0,32,10000,42,2,79|4820
80,2,2030,0,10,10000,4,2,80|10
81,2030,2,0,77,10000,2,1,81
82,2,2324,0,97,10000,3,1,82
83,2324,2,0,30,10000,28,3,83|11020|11021
