LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,14,0,6666,15000,14,7,0|191|313|376|620|625|1064
1,0,1993,0,2500,40000,7,9,1|114|206|791|819|970|1039|1111|1385
2,1,2,0,6666,15000,2,10,2|313|456|472|502|964|1499|1624|1650|1741
3,1,1993,0,2500,40000,6,10,3|108|566|621|697|737|789|1327|1408|1745
4,2,1,0,6666,15000,3,8,4|259|1034|1086|1187|1291|1399|1451
5,2,3,0,6666,15000,9,10,5|417|895|1131|1200|1258|1301|1404|1465|1617
6,3,2,0,6666,15000,11,6,6|508|523|908|1438|1655
7,3,4,0,6666,15000,13,7,7|354|397|1184|1299|1663|1715
8,4,3,0,6666,15000,10,11,8|59|318|354|480|874|990|1001|1224|1370|1528
9,4,5,0,6666,15000,18,6,9|128|373|1005|1222|1762
10,5,4,0,6666,15000,1,10,10|14|500|696|999|1113|1519|1531|1733|1845
11,5,6,0,6666,15000,2,8,11|240|566|663|966|988|1448|1780
12,6,5,0,6666,15000,12,8,12|162|768|906|984|1263|1335|1384
13,6,7,0,6666,15000,6,8,13|242|250|271|322|1158|1277|1308
14,7,6,0,6666,15000,18,9,14|616|632|1017|1100|1104|1269|1423|1514
15,7,8,0,6666,15000,11,5,15|118|545|857|1080
16,8,7,0,6666,15000,1,11,16|35|89|236|596|910|1074|1486|1666|1866|1908
17,8,9,0,6666,15000,15,9,17|111|360|431|908|1206|1265|1556|1584
18,9,8,0,6666,15000,13,6,18|249|277|486|596|868
19,9,10,0,6666,15000,9,11,19|4|42|173|233|250|268|670|698|743|812
20,10,9,0,6666,15000,12,8,20|375|582|811|1236|1461|1543|1748
21,10,11,0,6666,15000,9,10,21|142|460|737|1183|1410|1525|1653|1703|1764
22,11,10,0,6666,15000,19,7,22|233|368|582|1030|1398|1580
23,11,12,0,6666,15000,2,14,23|5|208|242|264|496|673|757|796|816|955|1221|1343|1570
24,12,11,0,6666,15000,12,4,24|600|610|1544
25,12,13,0,6666,15000,8,8,25|233|698|708|757|1036|1351|1460
26,13,12,0,6666,15000,5,10,26|99|153|422|469|667|903|981|1147|1342
27,13,14,0,6666,15000,18,8,27|177|200|518|1103|1289|1405|1654
28,14,13,0,6666,15000,11,10,28|739|760|1049|1095|1378|1433|1648|1875|1958
29,14,0,0,6666,15000,18,3,29|249|1003
30,15,25,0,6666,15000,4,8,30|511|724|883|905|1273|1520|1626
31,15,1993,0,2500,40000,11,6,31|287|1253|1465|1522|1705
32,16,17,0,6666,15000,7,5,32|153|486|562|1128
33,16,1998,0,2500,40000,5,3,33|808|905
34,17,16,0,6666,15000,2,12,34|205|221|530|635|722|746|803|1095|1161|1595|1799
35,17,18,0,6666,15000,1,7,35|177|1002|1061|1238|1250|1462
36,18,17,0,6666,15000,14,6,36|206|306|668|1032|1248
37,18,19,0,6666,15000,8,10,37|169|191|421|527|603|994|1128|1410|1483
38,19,18,0,6666,15000,8,4,38|875|1216|1287
39,19,20,0,6666,15000,19,8,39|151|277|277|566|705|971|998
40,20,19,0,6666,15000,16,10,40|248|318|409|984|1118|1345|1397|1474|1652
41,20,21,0,6666,15000,7,4,41|234|322|703
42,21,20,0,6666,15000,10,2,42|1113
43,21,22,0,6666,15000,4,15,43|45|83|592|596|744|890|947|1017|1148|1169|1388|1640|1811|1840
44,22,21,0,6666,15000,7,11,44|68|131|174|448|517|641|725|1080|1388|1558
45,22,23,0,6666,15000,16,11,45|526|636|694|762|945|1093|1225|1560|1570|1791
46,23,22,0,6666,15000,3,9,46|88|140|992|1201|1218|1522|1556|1720
47,23,24,0,6666,15000,18,11,47|104|234|551|742|822|833|944|1289|1389|1547
48,24,23,0,6666,15000,18,11,48|271|411|510|744|776|886|935|989|1074|1281
49,24,25,0,6666,15000,12,10,49|307|419|461|624|902|1022|1164|1526|1845
50,25,24,0,6666,15000,4,11,50|167|251|266|958|998|1080|1193|1205|1377|1826
51,25,15,0,6666,15000,2,8,51|172|218|474|1134|1218|1800|1883
52,26,35,0,6666,15000,6,7,52|34|52|666|876|904|1338
53,26,1998,0,2500,40000,19,4,53|492|777|1007
54,27,28,0,6666,15000,17,7,54|14|716|794|1346|1487|1531
55,27,1998,0,2500,40000,19,13,55|148|188|445|446|551|694|727|901|1557|1626|1670|1690
