LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,176,0,13,10000,9,0,
1,176,0,0,20,10000,4,0,
2,0,9,0,14,10000,17,0,
3,9,0,0,16,10000,10,0,
4,1,8,0,13,10000,4,0,
5,8,1,0,12,10000,9,0,
6,1,176,0,11,10000,20,0,
7,176,1,0,8,10000,1,0,
8,1,114,0,8,10000,2,0,
9,114,1,0,2,10000,10,0,
10,1,116,0,19,10000,1,0,
11,116,1,0,4,10000,5,0,
12,1,175,0,5,10000,2,0,
13,175,1,0,19,10000,13,0,
14,2,76,0,6,10000,5,0,
15,76,2,0,11,10000,20,0,
16,2,77,0,3,10000,15,0,
17,77,2,0,15,10000,6,0,
18,3,4,0,20,10000,17,0,
19,4,3,0,13,10000,5,0,
20,3,77,0,3,10000,14,0,
21,77,3,0,15,10000,17,0,
22,4,6,0,4,10000,7,0,
23,6,4,0,2,10000,2,0,
24,4,135,0,19,10000,17,0,
25,135,4,0,1,10000,19,0,
26,5,131,0,19,10000,5,0,
27,131,5,0,7,10000,18,0,
28,5,6,0,17,10000,6,0,
29,6,5,0,3,10000,12,0,
30,6,7,0,16,10000,10,0,
31,7,6,0,10,10000,3,0,
32,7,8,0,14,10000,11,0,
33,8,7,0,5,10000,5,0,
34,7,174,0,9,10000,19,0,
35,174,7,0,3,10000,18,0,
36,8,194,0,15,10000,14,0,
37,194,8,0,7,10000,9,0,
38,8,191,0,17,10000,18,0,
39,191,8,0,6,10000,19,0,
40,8,9,0,13,10000,18,0,
41,9,8,0,12,10000,15,0,
42,10,11,0,4,10000,10,0,
43,11,10,0,6,10000,12,0,
44,10,13,0,7,10000,16,0,
45,13,10,0,4,10000,7,0,
46,11,16,0,6,10000,4,0,
47,16,11,0,11,10000,18,0,
48,12,32,0,4,10000,15,0,
49,32,12,0,20,10000,13,0,
50,12,13,0,14,10000,13,0,
51,13,12,0,17,10000,3,0,
52,12,30,0,11,10000,17,0,
53,30,12,0,12,10000,2,0,
54,13,16,0,15,10000,16,0,
55,16,13,0,8,10000,10,0,
56,13,15,0,9,10000,15,0,
57,15,13,0,9,10000,9,0,
58,14,64,0,3,10000,9,0,
59,64,14,0,6,10000,4,0,
60,14,129,0,9,10000,20,0,
61,129,14,0,13,10000,4,0,
62,14,15,0,7,10000,20,0,
63,15,14,0,7,10000,19,0,
64,16,17,0,15,10000,12,0,
65,17,16,0,12,10000,4,0,
66,18,19,0,20,10000,15,0,
