LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,176,0,91,10000,13,4,0|16|94|144
1,176,0,0,28,10000,15,10,1|7|11|28|31|68|81|83|154|179
2,0,9,0,28,10000,79,8,2|61|61|62|67|73|92|178
3,9,0,0,20,10000,26,7,3|14|116|132|148|149|173
4,1,8,0,59,10000,91,9,4|7|29|53|63|103|106|108|139
5,8,1,0,25,10000,78,10,5|4|20|26|107|109|137|137|167|171
6,1,176,0,22,10000,69,7,6|7|40|83|109|119|169
7,176,1,0,51,10000,53,12,7|16|22|38|46|65|72|80|96|112|115|153
8,1,114,0,22,10000,57,10,8|3|27|28|60|72|96|98|109|161
9,114,1,0,34,10000,96,10,9|21|26|40|78|86|96|135|166|185
10,1,116,0,4,10000,15,9,10|1|6|36|43|65|150|151|170
11,116,1,0,3,10000,58,9,11|25|69|71|85|89|92|146|186
12,1,175,0,77,10000,87,6,12|7|20|52|63|84
13,175,1,0,40,10000,54,11,13|9|50|54|81|89|121|122|122|135|176
14,2,76,0,85,10000,53,15,14|13|50|74|80|95|99|106|110|125|138|144|153|153|153
15,76,2,0,12,10000,94,7,15|4|16|41|55|77|130
16,2,77,0,45,10000,42,19,16|3|6|9|26|28|46|46|56|60|98|129|151|158|161|162|168|169|173
17,77,2,0,43,10000,57,13,17|8|20|27|29|41|51|70|79|94|100|153|176
18,3,4,0,53,10000,12,7,18|102|118|120|153|176|196
19,4,3,0,15,10000,12,13,19|24|53|69|85|116|129|148|171|178|182|186|186
20,3,77,0,84,10000,33,9,20|16|23|30|96|173|178|191|192
21,77,3,0,81,10000,55,9,21|2|18|18|35|65|93|157|182
22,4,6,0,30,10000,85,4,22|43|93|148
23,6,4,0,97,10000,23,6,23|13|41|47|48|74
24,4,135,0,56,10000,83,10,24|5|7|12|65|85|89|120|129|182
25,135,4,0,56,10000,72,10,25|4|11|20|30|46|74|128|134|153
26,5,131,0,86,10000,57,13,26|1|5|22|40|59|63|65|108|108|137|159|171
27,131,5,0,74,10000,26,10,27|8|35|41|46|81|83|153|158|168
28,5,6,0,89,10000,46,6,28|44|46|50|75|135
29,6,5,0,80,10000,7,8,29|21|22|34|96|115|149|176
30,6,7,0,35,10000,87,10,30|49|62|70|76|92|108|116|119|152
31,7,6,0,85,10000,76,7,31|11|22|41|47|121|158
32,7,8,0,6,10000,78,5,32|61|80|107|127
33,8,7,0,47,10000,42,15,33|13|30|40|79|93|97|104|105|120|122|146|168|176|185
34,7,174,0,60,10000,43,11,34|20|27|33|60|65|80|124|136|167|170
35,174,7,0,79,10000,5,16,35|22|28|29|30|40|43|74|95|105|105|116|139|140|159|165
36,8,194,0,67,10000,94,5,36|22|23|51|65
37,194,8,0,88,10000,27,10,37|17|26|33|40|63|73|109|112|135
38,8,191,0,39,10000,60,8,38|22|37|55|68|108|128|168
39,191,8,0,22,10000,20,2,39|4
40,8,9,0,1,10000,36,10,40|46|59|65|86|121|140|140|162|167
41,9,8,0,26,10000,85,2,41|19
42,10,11,0,92,10000,33,13,42|29|30|63|63|80|98|115|136|139|148|151|173
43,11,10,0,17,10000,6,8,43|12|30|31|60|96|106|154
44,10,13,0,9,10000,38,5,44|60|93|106|138
45,13,10,0,51,10000,89,7,45|13|26|33|33|40|43
46,11,16,0,74,10000,71,10,46|46|71|92|95|101|122|136|147|159
47,16,11,0,48,10000,25,6,47|46|46|136|148|151
48,12,32,0,25,10000,31,9,48|5|20|36|42|112|121|128|148
49,32,12,0,79,10000,91,7,49|5|46|54|95|97|172
50,12,13,0,89,10000,46,9,50|6|26|97|105|110|116|139|148
51,13,12,0,90,10000,23,9,51|6|30|35|45|51|112|131|167
52,12,30,0,80,10000,8,10,52|11|36|50|73|77|119|150|157|170
53,30,12,0,76,10000,22,11,53|6|8|13|20|28|31|81|121|151|175
54,13,16,0,36,10000,83,5,54|20|46|50|54
55,16,13,0,92,10000,59,9,55|2|22|27|41|44|69|118|154
56,13,15,0,66,10000,15,9,56|29|30|52|59|74|100|183|187
57,15,13,0,64,10000,91,9,57|21|59|60|69|99|148|167|185
58,14,64,0,88,10000,23,7,58|11|21|60|108|111|129
59,64,14,0,51,10000,12,3,59|43|183
60,14,129,0,74,10000,32,15,60|1|2|14|36|41|50|73|80|114|144|157|163|172|186
61,129,14,0,71,10000,51,6,61|18|36|39|72|127
62,14,15,0,1,10000,68,8,62|17|26|47|49|63|75|96
63,15,14,0,49,10000,49,8,63|55|96|105|106|112|138|149
64,16,17,0,10,10000,43,6,64|7|26|26|103|121
65,17,16,0,53,10000,79,3,65|40|72
66,18,19,0,21,10000,36,12,66|21|45|60|65|80|106|111|123|139|145|169
67,19,18,0,34,10000,5,7,67|27|29|74|97|111|117
68,18,30,0,79,10000,31,8,68|1|50|60|65|81|106|108
69,30,18,0,90,10000,29,12,69|4|12|25|31|36|53|60|63|65|75|89
70,19,89,0,52,10000,41,8,70|16|19|65|80|103|118|129
71,89,19,0,61,10000,3,8,71|3|55|68|99|109|111|145
72,19,68,0,55,10000,35,6,72|1|2|21|122|182
73,68,19,0,68,10000,14,10,73|28|41|51|59|62|91|136|167|177
74,19,82,0,45,10000,26,6,74|4|72|83|92|112
75,82,19,0,9,10000,3,6,75|61|70|81|105|118
76,20,21,0,73,10000,20,7,76|18|28|67|73|154|171
77,21,20,0,50,10000,80,8,77|13|18|30|38|81|105|116
78,20,23,0,74,10000,9,7,78|37|51|52|72|96|112
79,23,20,0,94,10000,30,15,79|6|71|82|96|115|130|135|139|156|162|162|165|186|188
80,21,26,0,28,10000,13,8,80|1|52|54|130|144|152|153
81,26,21,0,76,10000,23,5,81|63|105|115|135
82,22,188,0,56,10000,77,9,82|5|24|39|81|128|166|169|172
83,188,22,0,28,10000,76,6,83|16|38|65|124|136
84,22,23,0,29,10000,37,9,84|39|81|123|139|140|152|166|185
85,23,22,0,31,10000,8,7,85|31|139|158|159|169|171
86,24,27,0,65,10000,68,8,86|27|59|93|139|139|151|173
87,27,24,0,18,10000,41,10,87|4|11|12|35|72|80|112|114|154
88,25,171,0,55,10000,52,12,88|32|41|47|52|70|97|98|118|167|176|189
89,171,25,0,85,10000,58,7,89|24|36|53|115|122|144
90,25,55,0,17,10000,93,10,90|16|21|21|93|100|128|161|169|181
91,55,25,0,99,10000,20,8,91|26|38|55|81|130|154|159
92,26,27,0,5,10000,9,8,92|21|28|30|39|98|118|179
93,27,26,0,75,10000,72,9,93|68|73|81|82|100|161|167|197
94,26,28,0,19,10000,98,10,94|4|9|65|68|81|103|117|175|179
95,28,26,0,84,10000,34,11,95|21|27|31|40|41|93|107|112|153|160
96,26,29,0,89,10000,4,6,96|9|50|54|75|98
97,29,26,0,75,10000,40,11,97|8|30|33|33|87|101|132|153|175|175
98,28,51,0,49,10000,39,13,98|7|7|7|17|18|38|63|67|80|106|132|144
99,51,28,0,77,10000,65,9,99|30|46|59|63|87|135|137|173
100,28,54,0,18,10000,8,4,100|87|153|161
101,54,28,0,49,10000,47,8,101|34|36|98|100|153|157|162
102,29,78,0,28,10000,21,8,102|22|24|73|85|93|115|122
103,78,29,0,10,10000,17,7,103|35|39|40|61|74|97
104,30,35,0,25,10000,9,9,104|2|5|59|67|120|142|154|171
105,35,30,0,68,10000,89,6,105|69|128|144|148|148
106,31,37,0,51,10000,50,7,106|21|77|109|153|153|154
107,37,31,0,93,10000,29,8,107|7|28|40|56|92|153|154
108,32,33,0,49,10000,1,4,108|41|48|81
109,33,32,0,15,10000,59,3,109|30|83
110,32,37,0,15,10000,39,7,110|20|33|61|81|122|135
111,37,32,0,44,10000,39,7,111|16|31|37|58|75|118
112,34,37,0,68,10000,47,15,112|6|21|28|33|68|91|98|99|108|120|132|135|138|156
113,37,34,0,94,10000,69,6,113|10|17|61|65|100
114,35,37,0,23,10000,9,4,114|26|50|146
115,37,35,0,9,10000,85,10,115|6|26|50|60|80|91|104|106|183
116,36,38,0,13,10000,76,6,116|51|67|74|87|105
117,38,36,0,78,10000,86,13,117|13|33|50|50|75|103|122|128|134|149|153|153
118,36,39,0,14,10000,74,10,118|1|24|40|48|53|68|89|128|174
119,39,36,0,44,10000,99,5,119|61|63|80|115
120,37,160,0,94,10000,35,13,120|21|23|30|34|68|74|91|103|107|129|162|169
121,160,37,0,42,10000,99,8,121|33|45|115|121|139|172|182
122,37,38,0,40,10000,34,9,122|38|47|68|98|124|151|153|191
123,38,37,0,96,10000,73,9,123|12|61|63|71|118|120|123|135
124,38,196,0,33,10000,70,8,124|55|65|68|83|106|116|127
125,196,38,0,14,10000,15,10,125|3|12|25|37|59|60|96|97|120
126,39,181,0,57,10000,75,6,126|28|39|40|87|139
127,181,39,0,72,10000,27,9,127|5|34|65|80|87|107|122|138
128,40,41,0,26,10000,23,5,128|38|52|55|65
129,41,40,0,25,10000,3,8,129|7|53|63|77|85|140|169
130,40,42,0,73,10000,54,4,130|56|80|167
131,42,40,0,80,10000,72,12,131|16|38|46|51|92|135|139|160|161|173|178
132,41,43,0,45,10000,49,11,132|4|12|16|45|59|73|75|80|92|141
133,43,41,0,36,10000,7,9,133|8|27|75|81|96|156|175|176
134,41,189,0,83,10000,41,5,134|59|79|105|139
135,189,41,0,37,10000,46,3,135|26|62
136,42,43,0,52,10000,75,9,136|4|42|45|112|116|154|167|173
137,43,42,0,89,10000,50,9,137|26|28|43|54|124|158|179|183
138,42,143,0,15,10000,55,8,138|8|22|59|65|74|79|104
139,143,42,0,93,10000,44,12,139|29|41|45|88|89|99|127|134|136|154|161
140,42,143,0,5,10000,45,9,140|16|17|37|93|95|105|134|152
141,143,42,0,29,10000,27,8,141|26|54|55|58|74|85|168
142,44,45,0,25,10000,56,10,142|23|27|27|55|69|82|170|176|178
143,45,44,0,35,10000,72,10,143|2|51|59|60|67|74|83|115|144
144,44,47,0,85,10000,19,12,144|5|13|14|23|28|46|63|72|86|106|139
145,47,44,0,65,10000,57,1,145
146,45,48,0,73,10000,66,8,146|3|22|75|96|97|113|122
147,48,45,0,98,10000,12,7,147|40|108|135|151|157|175
148,45,164,0,68,10000,72,9,148|46|62|68|73|82|84|95|105
149,164,45,0,32,10000,33,8,149|30|41|51|76|137|170|178
150,46,49,0,93,10000,48,11,150|4|24|29|45|69|101|112|137|154|167
151,49,46,0,59,10000,4,10,151|2|20|43|93|99|100|113|151|162
152,46,47,0,59,10000,98,4,152|20|121|153
153,47,46,0,2,10000,12,10,153|3|9|33|50|51|91|108|137|156
154,48,155,0,59,10000,41,7,154|4|64|83|118|148|167
155,155,48,0,94,10000,3,3,155|15|28
156,48,181,0,83,10000,96,6,156|2|6|41|115|138
157,181,48,0,9,10000,87,15,157|3|13|24|75|93|94|96|118|122|159|166|167|169|182
158,49,177,0,34,10000,75,9,158|26|41|55|67|78|101|105|108
