demandID,SourceID,Destination,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
0,22,91,123.8,138.2,10,0,0,-1,89
1,92,80,100.2,100.8,10,0,0,-1,96
2,27,177,113,116,10,0,0,-1,84
3,122,161,130.2,139.8,10,0,0,-1,146
4,26,129,173,185,10,0,0,-1,139
5,110,34,108,118.8,10,0,0,-1,123
6,144,100,105,115.5,10,0,0,-1,115
7,66,93,121.4,131.6,10,0,0,-1,107
8,66,75,110.4,120.6,10,0,0,-1,101
9,97,150,72,79.2,10,0,0,-1,89
10,144,125,94,103.4,10,0,0,-1,112
11,101,172,183.6,191.4,10,0,0,-1,206
12,168,26,107.6,109.4,10,0,0,-1,134
13,158,36,32,35.2,10,0,0,-1,19
14,158,114,98.2,107.8,10,0,0,-1,119
15,18,41,170,197,10,0,0,-1,152
16,190,130,188,206.8,10,0,0,-1,182
17,31,28,110,121,10,0,0,-1,137
18,91,156,37.6,39.4,10,0,0,-1,62
19,135,150,112.8,127.2,10,0,0,-1,108
