demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
0,140,87,84,84,0,1,0,2,0,84,84
0,140,87,84,168,0,1,0,2,0,84,84
0,146,138,315,315,0,1,0,2,0,315,315
0,146,138,315,630,0,1,0,2,0,315,315
0,79,13,396.8,467.2,0,1,8.8,2,0,476,388
0,79,13,484.8,952,0,1,8.8,2,0,476,388
0,125,12,436,500,0,1,8,2,0,508,428
0,125,12,516,1016,0,1,8,2,0,508,428
0,70,35,381.4,416.6,0,1,4.4,2,0,421,377
0,70,35,425.4,842,0,1,4.4,2,0,421,377
0,94,104,204.9,284.1,0,1,9.9,2,0,294,195
0,94,104,303.9,588,0,1,9.9,2,0,294,195
0,49,92,333,333,0,1,0,2,0,333,333
0,49,92,333,666,0,1,0,2,0,333,333
0,1,50,604,604,0,1,0,2,0,604,604
0,1,50,604,1208,0,1,0,2,0,604,604
0,10,25,820,876,0,1,7,2,0,883,813
0,10,25,890,1766,0,1,7,2,0,883,813
0,98,147,903.3,1121.7,0,1,27.3,2,0,1149,876
0,98,147,1176.3,2298,0,1,27.3,2,0,1149,876
0,119,114,107,107,0,1,0,2,0,107,107
0,119,114,107,214,0,1,0,2,0,107,107
0,96,142,677.9,725.1,0,1,5.9,2,0,731,672
0,96,142,736.9,1462,0,1,5.9,2,0,731,672
0,40,53,834,1170,0,1,42,2,0,1212,792
0,40,53,1254,2424,0,1,42,2,0,1212,792
0,73,25,307,307,0,1,0,2,0,307,307
0,73,25,307,614,0,1,0,2,0,307,307
0,70,99,238,238,0,1,0,2,0,238,238
0,70,99,238,476,0,1,0,2,0,238,238
0,113,61,217.5,269.5,0,1,6.5,2,0,276,211
0,113,61,282.5,552,0,1,6.5,2,0,276,211
0,47,110,198,198,0,1,0,2,0,198,198
0,47,110,198,396,0,1,0,2,0,198,198
0,61,136,538.5,614.5,0,1,9.5,2,0,624,529
0,61,136,633.5,1248,0,1,9.5,2,0,624,529
0,133,47,529,657,0,1,16,2,0,673,513
0,133,47,689,1346,0,1,16,2,0,673,513
0,0,54,526.9,574.1,0,1,5.9,2,0,580,521
0,0,54,585.9,1160,0,1,5.9,2,0,580,521
0,82,94,379.5,471.5,0,1,11.5,2,0,483,368
0,82,94,494.5,966,0,1,11.5,2,0,483,368
0,9,131,308,308,0,1,0,2,0,308,308
0,9,131,308,616,0,1,0,2,0,308,308
0,37,10,627,627,0,1,0,2,0,627,627
0,37,10,627,1254,0,1,0,2,0,627,627
0,42,58,219,219,0,1,0,2,0,219,219
0,42,58,219,438,0,1,0,2,0,219,219
0,46,141,644,700,0,1,7,2,0,707,637
0,46,141,714,1414,0,1,7,2,0,707,637
0,56,16,869.2,966.8,0,1,12.2,2,0,979,857
0,56,16,991.2,1958,0,1,12.2,2,0,979,857
0,106,13,898.6,983.4,0,1,10.6,2,0,994,888
0,106,13,1004.6,1988,0,1,10.6,2,0,994,888
0,19,8,783.1,831.9,0,1,6.1,2,0,838,777
0,19,8,844.1,1676,0,1,6.1,2,0,838,777
0,66,103,301.3,367.7,0,1,8.3,2,0,376,293
0,66,103,384.3,752,0,1,8.3,2,0,376,293
0,33,147,525.6,714.4,0,1,23.6,2,0,738,502
0,33,147,761.6,1476,0,1,23.6,2,0,738,502
