LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,14,0,18,10000,12,0,
1,14,0,0,19,10000,6,0,
2,1,17,0,2,10000,3,0,
3,17,1,0,5,10000,4,0,
4,2,128,0,7,10000,3,0,
5,128,2,0,18,10000,3,0,
6,2,3,0,12,10000,4,0,
7,3,2,0,3,10000,3,0,
8,3,125,0,15,10000,20,0,
9,125,3,0,16,10000,20,0,
10,4,16,0,12,10000,4,0,
11,16,4,0,19,10000,16,0,
12,4,5,0,11,10000,20,0,
13,5,4,0,2,10000,17,0,
14,5,6,0,19,10000,11,0,
15,6,5,0,3,10000,16,0,
16,6,7,0,2,10000,10,0,
17,7,6,0,18,10000,11,0,
18,7,8,0,12,10000,13,0,
19,8,7,0,14,10000,19,0,
20,8,9,0,19,10000,18,0,
21,9,8,0,16,10000,2,0,
22,9,14,0,6,10000,16,0,
23,14,9,0,1,10000,18,0,
24,10,16,0,13,10000,10,0,
25,16,10,0,10,10000,11,0,
26,10,46,0,12,10000,20,0,
27,46,10,0,1,10000,16,0,
28,11,98,0,14,10000,18,0,
29,98,11,0,15,10000,6,0,
30,11,100,0,2,10000,11,0,
31,100,11,0,3,10000,16,0,
32,11,95,0,14,10000,5,0,
33,95,11,0,17,10000,20,0,
34,12,117,0,12,10000,9,0,
35,117,12,0,7,10000,12,0,
36,13,147,0,13,10000,5,0,
37,147,13,0,9,10000,3,0,
38,14,94,0,5,10000,1,0,
39,94,14,0,15,10000,1,0,
40,15,131,0,15,10000,1,0,
41,131,15,0,2,10000,16,0,
42,15,125,0,15,10000,16,0,
43,125,15,0,4,10000,4,0,
44,16,95,0,3,10000,8,0,
45,95,16,0,14,10000,2,0,
46,17,132,0,11,10000,7,0,
47,132,17,0,4,10000,12,0,
48,17,94,0,14,10000,19,0,
49,94,17,0,12,10000,17,0,
50,18,41,0,18,10000,16,0,
51,41,18,0,17,10000,9,0,
52,18,103,0,18,10000,13,0,
53,103,18,0,13,10000,15,0,
54,19,59,0,19,10000,5,0,
55,59,19,0,16,10000,4,0,
56,19,142,0,18,10000,2,0,
57,142,19,0,4,10000,7,0,
58,20,144,0,5,10000,3,0,
59,144,20,0,12,10000,1,0,
60,20,133,0,3,10000,4,0,
61,133,20,0,9,10000,14,0,
62,20,134,0,20,10000,8,0,
63,134,20,0,9,10000,19,0,
64,20,141,0,10,10000,11,0,
65,141,20,0,15,10000,4,0,
66,20,80,0,19,10000,18,0,
67,80,20,0,20,10000,9,0,
68,20,81,0,11,10000,19,0,
69,81,20,0,2,10000,3,0,
70,21,26,0,17,10000,8,0,
71,26,21,0,15,10000,1,0,
72,21,23,0,2,10000,3,0,
73,23,21,0,18,10000,2,0,
74,22,142,0,18,10000,2,0,
75,142,22,0,14,10000,12,0,
76,22,23,0,10,10000,4,0,
77,23,22,0,2,10000,6,0,
78,24,81,0,1,10000,14,0,
79,81,24,0,8,10000,11,0,
80,24,27,0,5,10000,4,0,
81,27,24,0,20,10000,19,0,
82,24,25,0,3,10000,6,0,
83,25,24,0,9,10000,9,0,
84,25,89,0,17,10000,20,0,
85,89,25,0,17,10000,5,0,
86,25,50,0,6,10000,18,0,
87,50,25,0,6,10000,5,0,
88,26,27,0,15,10000,14,0,
89,27,26,0,5,10000,10,0,
90,27,144,0,16,10000,11,0,
91,144,27,0,5,10000,14,0,
92,28,54,0,1,10000,14,0,
93,54,28,0,14,10000,13,0,
94,28,142,0,7,10000,5,0,
95,142,28,0,17,10000,9,0,
96,29,51,0,13,10000,17,0,
97,51,29,0,2,10000,19,0,
98,29,139,0,5,10000,14,0,
99,139,29,0,6,10000,10,0,
100,29,142,0,15,10000,16,0,
101,142,29,0,8,10000,7,0,
102,30,126,0,12,10000,3,0,
103,126,30,0,5,10000,12,0,
104,31,72,0,17,10000,6,0,
105,72,31,0,12,10000,4,0,
106,31,62,0,16,10000,3,0,
107,62,31,0,19,10000,11,0,
108,32,129,0,6,10000,17,0,
109,129,32,0,6,10000,16,0,
110,32,35,0,20,10000,3,0,
111,35,32,0,14,10000,13,0,
112,33,129,0,1,10000,3,0,
113,129,33,0,2,10000,17,0,
114,33,61,0,12,10000,5,0,
115,61,33,0,7,10000,16,0,
116,34,72,0,2,10000,12,0,
117,72,34,0,16,10000,18,0,
118,34,73,0,17,10000,4,0,
119,73,34,0,7,10000,18,0,
120,35,73,0,18,10000,1,0,
121,73,35,0,6,10000,7,0,
122,36,75,0,13,10000,5,0,
123,75,36,0,18,10000,6,0,
124,36,39,0,9,10000,15,0,
125,39,36,0,18,10000,18,0,
126,37,122,0,3,10000,16,0,
127,122,37,0,5,10000,12,0,
128,37,75,0,6,10000,7,0,
129,75,37,0,9,10000,10,0,
130,38,76,0,1,10000,18,0,
131,76,38,0,18,10000,3,0,
132,38,77,0,11,10000,3,0,
133,77,38,0,9,10000,17,0,
134,39,70,0,19,10000,5,0,
135,70,39,0,17,10000,3,0,
136,40,64,0,14,10000,13,0,
137,64,40,0,10,10000,6,0,
138,40,65,0,9,10000,11,0,
139,65,40,0,17,10000,5,0,
140,40,66,0,13,10000,12,0,
141,66,40,0,5,10000,4,0,
142,40,63,0,19,10000,10,0,
143,63,40,0,12,10000,11,0,
144,41,98,0,7,10000,10,0,
145,98,41,0,15,10000,10,0,
146,41,101,0,6,10000,15,0,
147,101,41,0,19,10000,11,0,
148,41,104,0,15,10000,17,0,
149,104,41,0,11,10000,18,0,
150,41,105,0,1,10000,10,0,
151,105,41,0,13,10000,2,0,
152,41,106,0,5,10000,4,0,
153,106,41,0,4,10000,7,0,
154,41,44,0,12,10000,2,0,
155,44,41,0,3,10000,20,0,
156,41,47,0,9,10000,10,0,
157,47,41,0,15,10000,15,0,
158,42,43,0,16,10000,9,0,
159,43,42,0,19,10000,7,0,
160,42,148,0,8,10000,20,0,
161,148,42,0,16,10000,18,0,
162,43,137,0,9,10000,16,0,
163,137,43,0,1,10000,8,0,
164,44,48,0,11,10000,13,0,
165,48,44,0,7,10000,20,0,
166,44,45,0,5,10000,16,0,
167,45,44,0,12,10000,12,0,
168,45,48,0,8,10000,3,0,
169,48,45,0,14,10000,9,0,
170,45,128,0,1,10000,19,0,
171,128,45,0,4,10000,9,0,
172,49,128,0,15,10000,15,0,
173,128,49,0,1,10000,8,0,
174,49,127,0,2,10000,14,0,
175,127,49,0,18,10000,12,0,
176,50,57,0,7,10000,1,0,
177,57,50,0,19,10000,1,0,
178,51,87,0,8,10000,20,0,
179,87,51,0,11,10000,1,0,
180,51,140,0,7,10000,3,0,
181,140,51,0,9,10000,18,0,
182,51,117,0,16,10000,20,0,
183,117,51,0,10,10000,14,0,
184,52,55,0,15,10000,4,0,
185,55,52,0,6,10000,15,0,
186,52,53,0,10,10000,15,0,
187,53,52,0,3,10000,16,0,
188,52,143,0,19,10000,18,0,
189,143,52,0,19,10000,15,0,
190,53,58,0,18,10000,9,0,
191,58,53,0,3,10000,16,0,
192,54,55,0,18,10000,8,0,
193,55,54,0,11,10000,13,0,
194,56,57,0,10,10000,16,0,
195,57,56,0,13,10000,19,0,
196,56,59,0,10,10000,10,0,
197,59,56,0,10,10000,2,0,
198,58,142,0,17,10000,13,0,
199,142,58,0,15,10000,19,0,
200,58,117,0,11,10000,17,0,
201,117,58,0,2,10000,18,0,
202,60,130,0,10,10000,17,0,
203,130,60,0,4,10000,15,0,
204,61,130,0,3,10000,10,0,
205,130,61,0,15,10000,4,0,
206,61,62,0,13,10000,6,0,
207,62,61,0,4,10000,11,0,
208,62,131,0,5,10000,3,0,
209,131,62,0,3,10000,15,0,
210,64,65,0,6,10000,5,0,
211,65,64,0,20,10000,19,0,
212,64,126,0,20,10000,10,0,
213,126,64,0,10,10000,11,0,
214,66,102,0,12,10000,4,0,
215,102,66,0,19,10000,7,0,
216,67,107,0,6,10000,5,0,
217,107,67,0,10,10000,13,0,
218,67,102,0,10,10000,11,0,
219,102,67,0,20,10000,4,0,
220,68,130,0,11,10000,1,0,
221,130,68,0,13,10000,17,0,
222,68,83,0,4,10000,10,0,
223,83,68,0,15,10000,12,0,
224,69,130,0,10,10000,13,0,
