LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,14,0,6,10000,9,1,0
1,14,0,0,39,10000,72,1,1
2,1,17,0,4,10000,69,1,2
3,17,1,0,79,10000,38,1,3
4,2,128,0,10,10000,3,2,4|3
5,128,2,0,40,10000,31,3,5|316|317
6,2,3,0,90,10000,34,1,6
7,3,2,0,55,10000,98,3,7|5|6
8,3,125,0,7,10000,86,1,8
9,125,3,0,21,10000,95,1,9
10,4,16,0,72,10000,93,1,10
11,16,4,0,22,10000,26,6,11|31|33|34|35|36
12,4,5,0,38,10000,30,2,12|8
13,5,4,0,8,10000,7,1,13
14,5,6,0,14,10000,22,3,14|10|11
15,6,5,0,52,10000,46,1,15
16,6,7,0,16,10000,41,1,16
17,7,6,0,52,10000,95,1,17
18,7,8,0,49,10000,9,4,18|14|15|16
19,8,7,0,43,10000,54,1,19
20,8,9,0,82,10000,1,1,20
21,9,8,0,59,10000,77,1,21
22,9,14,0,85,10000,73,1,22
23,14,9,0,27,10000,12,1,23
24,10,16,0,89,10000,83,1,24
25,16,10,0,1,10000,47,1,25
26,10,46,0,80,10000,6,1,26
27,46,10,0,16,10000,30,1,27
28,11,98,0,66,10000,78,1,28
29,98,11,0,32,10000,58,1,29
30,11,100,0,2,10000,94,1,30
31,100,11,0,12,10000,84,1,31
32,11,95,0,38,10000,36,1,32
33,95,11,0,89,10000,70,2,33|232
34,12,117,0,64,10000,87,1,34
35,117,12,0,89,10000,59,2,35|291
36,13,147,0,20,10000,59,1,36
37,147,13,0,53,10000,40,2,37|398
38,14,94,0,75,10000,13,2,38|26
39,94,14,0,41,10000,50,2,39|226
40,15,131,0,86,10000,26,1,40
41,131,15,0,52,10000,45,3,41|342|344
42,15,125,0,20,10000,83,2,42|28
43,125,15,0,2,10000,45,1,43
44,16,95,0,40,10000,46,2,44|32
45,95,16,0,29,10000,58,4,45|232|234|235
46,17,132,0,87,10000,53,1,46
47,132,17,0,8,10000,56,1,47
48,17,94,0,54,10000,68,1,48
49,94,17,0,37,10000,63,2,49|226
50,18,41,0,5,10000,6,1,50
51,41,18,0,7,10000,53,3,51|97|98
52,18,103,0,88,10000,60,1,52
53,103,18,0,83,10000,33,2,53|251
54,19,59,0,24,10000,9,2,54|41
55,59,19,0,33,10000,10,1,55
56,19,142,0,23,10000,86,1,56
