demandID,SourceID,Destination,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
0,3,137,110.6,133.4,10,0,0,-1,102
1,105,75,120.2,135.8,10,0,0,-1,100
2,4,31,114,123,10,0,0,-1,124
3,39,124,38.2,41.8,10,0,0,-1,62
4,51,70,82,91,10,0,0,-1,67
5,52,92,174.4,184.6,10,0,0,-1,159
6,120,147,165.8,198.2,10,0,0,-1,111
7,42,67,200.2,224.8,10,0,0,-1,121
8,86,59,98.2,107.8,10,0,0,-1,60
9,84,50,88,96.8,10,0,0,-1,84
10,140,59,67.8,76.2,10,0,0,-1,49
11,9,96,44,48.4,10,0,0,-1,40
12,24,113,154.4,188.6,10,0,0,-1,62
13,111,14,150.8,168.2,10,0,0,-1,135
14,102,24,169,193,10,0,0,-1,147
15,33,101,112.6,117.4,10,0,0,-1,88
16,53,89,110.4,126.6,10,0,0,-1,94
17,92,23,129,150,10,0,0,-1,127
18,77,39,20,22,10,0,0,-1,36
19,127,80,128,149,10,0,0,-1,144
