demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
0,50,32,458,594,0,1,17,2,0,611,441
0,50,32,628,1222,0,1,17,2,0,611,441
0,1,18,240.3,306.7,0,1,8.3,2,0,315,232
0,1,18,323.3,630,0,1,8.3,2,0,315,232
0,86,93,221,221,0,1,0,2,0,221,221
0,86,93,221,442,0,1,0,2,0,221,221
0,56,0,319.1,327.9,0,1,1.1,2,0,329,318
0,56,0,330.1,658,0,1,1.1,2,0,329,318
0,4,46,348.3,454.7,0,1,13.3,2,0,468,335
0,4,46,481.3,936,0,1,13.3,2,0,468,335
0,10,42,502.7,652.3,0,1,18.7,2,0,671,484
0,10,42,689.7,1342,0,1,18.7,2,0,671,484
0,0,14,218,218,0,1,0,2,0,218,218
0,0,14,218,436,0,1,0,2,0,218,218
0,63,70,73,73,0,1,0,2,0,73,73
0,63,70,73,146,0,1,0,2,0,73,73
0,78,40,104.4,115.6,0,1,1.4,2,0,117,103
0,78,40,118.4,234,0,1,1.4,2,0,117,103
0,37,17,72,72,0,1,0,2,0,72,72
0,37,17,72,144,0,1,0,2,0,72,72
0,11,76,336,336,0,1,0,2,0,336,336
0,11,76,336,672,0,1,0,2,0,336,336
0,108,88,227,227,0,1,0,2,0,227,227
0,108,88,227,454,0,1,0,2,0,227,227
0,60,15,80,80,0,1,0,2,0,80,80
0,60,15,80,160,0,1,0,2,0,80,80
0,52,94,489.6,638.4,0,1,18.6,2,0,657,471
0,52,94,675.6,1314,0,1,18.6,2,0,657,471
0,82,70,408.3,506.7,0,1,12.3,2,0,519,396
0,82,70,531.3,1038,0,1,12.3,2,0,519,396
0,44,22,581,581,0,1,0,2,0,581,581
0,44,22,581,1162,0,1,0,2,0,581,581
0,35,87,775.3,809.7,0,1,4.3,2,0,814,771
0,35,87,818.3,1628,0,1,4.3,2,0,814,771
0,82,53,373.1,381.9,0,1,1.1,2,0,383,372
0,82,53,384.1,766,0,1,1.1,2,0,383,372
0,71,28,374.9,454.1,0,1,9.9,2,0,464,365
0,71,28,473.9,928,0,1,9.9,2,0,464,365
0,53,75,89.9,97.1,0,1,0.9,2,0,98,89
0,53,75,98.9,196,0,1,0.9,2,0,98,89
0,74,63,229,229,0,1,0,2,0,229,229
0,74,63,229,458,0,1,0,2,0,229,229
0,7,74,144,144,0,1,0,2,0,144,144
0,7,74,144,288,0,1,0,2,0,144,144
0,9,3,539.2,796.8,0,1,32.2,2,0,829,507
0,9,3,861.2,1658,0,1,32.2,2,0,829,507
0,77,88,237.8,332.2,0,1,11.8,2,0,344,226
0,77,88,355.8,688,0,1,11.8,2,0,344,226
0,43,4,164,164,0,1,0,2,0,164,164
0,43,4,164,328,0,1,0,2,0,164,164
0,105,96,352.7,430.3,0,1,9.7,2,0,440,343
0,105,96,449.7,880,0,1,9.7,2,0,440,343
0,12,36,236.7,258.3,0,1,2.7,2,0,261,234
0,12,36,263.7,522,0,1,2.7,2,0,261,234
0,74,5,116,124,0,1,1,2,0,125,115
0,74,5,126,250,0,1,1,2,0,125,115
0,51,59,594.2,683.8,0,1,11.2,2,0,695,583
0,51,59,706.2,1390,0,1,11.2,2,0,695,583
0,31,65,401.5,637.5,0,1,29.5,2,0,667,372
0,31,65,696.5,1334,0,1,29.5,2,0,667,372
