LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,35,0,11,10000,19,0,
1,35,0,0,11,10000,4,0,
2,0,103,0,3,10000,13,0,
3,103,0,0,12,10000,16,0,
4,1,65,0,6,10000,15,0,
5,65,1,0,1,10000,1,0,
6,1,39,0,17,10000,19,0,
7,39,1,0,11,10000,6,0,
8,2,3,0,14,10000,19,0,
9,3,2,0,12,10000,9,0,
10,2,101,0,8,10000,5,0,
11,101,2,0,9,10000,10,0,
12,2,55,0,7,10000,10,0,
13,55,2,0,3,10000,9,0,
14,3,49,0,20,10000,10,0,
15,49,3,0,8,10000,18,0,
16,3,101,0,10,10000,17,0,
17,101,3,0,13,10000,13,0,
18,4,48,0,8,10000,13,0,
19,48,4,0,6,10000,6,0,
20,4,5,0,13,10000,8,0,
21,5,4,0,15,10000,12,0,
22,5,33,0,1,10000,9,0,
23,33,5,0,2,10000,17,0,
24,6,33,0,11,10000,3,0,
25,33,6,0,12,10000,11,0,
26,6,19,0,6,10000,7,0,
27,19,6,0,11,10000,9,0,
28,7,64,0,11,10000,8,0,
29,64,7,0,8,10000,13,0,
30,7,8,0,10,10000,1,0,
31,8,7,0,12,10000,20,0,
32,7,18,0,17,10000,7,0,
33,18,7,0,3,10000,19,0,
34,7,19,0,18,10000,1,0,
35,19,7,0,2,10000,14,0,
36,8,64,0,13,10000,11,0,
37,64,8,0,20,10000,8,0,
38,8,9,0,6,10000,14,0,
39,9,8,0,3,10000,1,0,
40,9,39,0,11,10000,15,0,
41,39,9,0,15,10000,4,0,
42,10,37,0,19,10000,18,0,
43,37,10,0,20,10000,14,0,
44,10,17,0,14,10000,12,0,
45,17,10,0,10,10000,18,0,
46,10,82,0,20,10000,19,0,
47,82,10,0,18,10000,6,0,
48,10,83,0,3,10000,18,0,
49,83,10,0,14,10000,19,0,
50,10,22,0,4,10000,13,0,
51,22,10,0,9,10000,10,0,
52,10,22,0,17,10000,6,0,
53,22,10,0,18,10000,15,0,
54,10,31,0,14,10000,2,0,
55,31,10,0,17,10000,12,0,
56,11,72,0,6,10000,16,0,
