LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,35,0,58,10000,33,7,0|37|42|61|87|91|103
1,35,0,0,27,10000,98,7,1|5|24|40|49|50|64
2,0,103,0,39,10000,37,6,2|18|28|43|43|63
3,103,0,0,82,10000,64,11,3|22|22|23|27|27|29|41|53|62|62
4,1,65,0,70,10000,90,8,4|7|16|28|40|60|62|75
5,65,1,0,40,10000,24,6,5|10|13|17|34|67
6,1,39,0,17,10000,8,6,6|3|32|56|72|85
7,39,1,0,19,10000,77,8,7|8|13|23|28|40|62|81
8,2,3,0,70,10000,44,9,8|7|7|33|65|73|86|92|99
9,3,2,0,38,10000,16,4,9|3|4|26
10,2,101,0,58,10000,92,5,10|4|46|68|68
11,101,2,0,93,10000,54,7,11|9|20|26|36|38|69
12,2,55,0,95,10000,28,7,12|16|47|54|61|62|98
13,55,2,0,1,10000,17,6,13|12|40|72|81|86
14,3,49,0,81,10000,59,8,14|1|16|34|53|69|83|86
15,49,3,0,77,10000,83,8,15|21|21|26|28|51|61|80
16,3,101,0,19,10000,62,9,16|28|60|60|65|68|72|72|93
17,101,3,0,8,10000,82,6,17|46|51|65|72|74
18,4,48,0,55,10000,58,5,18|4|5|29|55
19,48,4,0,44,10000,18,9,19|4|5|12|13|28|40|41|60
20,4,5,0,34,10000,88,11,20|2|24|26|33|38|41|42|50|51|61
21,5,4,0,21,10000,73,3,21|13|18
22,5,33,0,24,10000,94,6,22|12|40|48|60|83
23,33,5,0,51,10000,28,6,23|9|26|54|77|96
24,6,33,0,59,10000,49,5,24|37|60|82|94
25,33,6,0,40,10000,21,10,25|14|25|30|51|52|54|55|63|65
26,6,19,0,62,10000,83,7,26|7|9|35|45|89|93
27,19,6,0,68,10000,83,10,27|6|11|16|26|33|47|52|62|103
28,7,64,0,35,10000,22,10,28|3|23|27|27|45|54|91|93|94
29,64,7,0,27,10000,58,5,29|35|45|67|81
30,7,8,0,64,10000,95,6,30|5|12|33|46|46
31,8,7,0,93,10000,86,6,31|3|40|43|45|93
32,7,18,0,37,10000,5,11,32|7|22|23|35|41|55|63|74|81|98
33,18,7,0,48,10000,86,2,33|51
34,7,19,0,97,10000,49,5,34|26|47|55|80
35,19,7,0,8,10000,65,7,35|18|25|39|70|77|99
36,8,64,0,86,10000,85,8,36|14|29|35|40|46|47|60
37,64,8,0,86,10000,46,6,37|8|36|51|53|65
38,8,9,0,37,10000,42,9,38|1|22|45|50|63|71|80|86
39,9,8,0,66,10000,58,4,39|3|7|50
40,9,39,0,20,10000,8,15,40|11|21|28|29|40|49|71|74|79|83|85|97|97|102
41,39,9,0,73,10000,75,8,41|24|30|31|33|37|62|85
42,10,37,0,99,10000,85,8,42|13|29|39|40|59|71|96
43,37,10,0,62,10000,10,9,43|43|45|46|50|72|74|80|97
44,10,17,0,46,10000,62,11,44|7|12|13|16|16|34|49|65|67|81
45,17,10,0,83,10000,68,6,45|4|12|31|33|41
46,10,82,0,15,10000,23,3,46|21|43
47,82,10,0,72,10000,11,8,47|4|30|51|58|59|83|96
48,10,83,0,7,10000,30,6,48|16|40|50|89|102
49,83,10,0,92,10000,18,6,49|15|37|60|82|85
50,10,22,0,56,10000,41,9,50|11|26|38|53|65|69|77|87
51,22,10,0,18,10000,5,6,51|5|18|33|35|59
52,10,22,0,76,10000,99,13,52|7|24|30|35|45|47|63|69|94|94|98|98
53,22,10,0,20,10000,57,7,53|7|27|37|41|80|91
54,10,31,0,24,10000,13,10,54|5|16|37|41|44|44|45|61|68
55,31,10,0,99,10000,44,8,55|7|7|11|12|15|63|67
56,11,72,0,60,10000,58,3,56|1|27
57,72,11,0,42,10000,29,7,57|7|16|22|46|64|71
58,11,72,0,65,10000,87,10,58|21|23|40|43|65|65|69|72|97
59,72,11,0,76,10000,18,6,59|11|60|62|65|74
60,11,73,0,41,10000,28,11,60|13|26|33|34|61|68|81|89|92|95
61,73,11,0,35,10000,14,10,61|3|14|25|27|38|55|58|59|100
62,11,106,0,62,10000,9,4,62|2|27|69
63,106,11,0,8,10000,70,5,63|33|36|40|81
64,11,21,0,23,10000,24,7,64|7|29|55|67|69|89
65,21,11,0,63,10000,71,4,65|46|52|59
66,12,19,0,23,10000,91,11,66|1|6|9|14|30|33|45|75|95|96
67,19,12,0,13,10000,82,5,67|25|51|53|63
68,12,19,0,22,10000,13,6,68|20|72|83|85|96
69,19,12,0,23,10000,21,5,69|22|31|46|67
70,12,26,0,85,10000,27,13,70|2|3|4|4|5|12|23|60|85|86|95|102
71,26,12,0,57,10000,43,8,71|26|41|43|48|50|80|85
72,12,27,0,3,10000,17,8,72|2|28|38|38|51|68|88
73,27,12,0,32,10000,53,11,73|4|8|23|27|28|29|59|60|74|96
74,12,52,0,89,10000,96,6,74|1|51|63|91|92
75,52,12,0,12,10000,60,13,75|3|4|29|38|42|61|70|73|73|80|82|89
76,13,104,0,11,10000,4,6,76|4|21|74|82|92
77,104,13,0,70,10000,9,2,77|5
78,13,105,0,16,10000,87,8,78|7|27|33|35|51|63|73
79,105,13,0,91,10000,71,8,79|13|22|30|35|47|55|75
80,13,61,0,28,10000,2,9,80|5|7|44|73|80|85|87|94
81,61,13,0,46,10000,98,6,81|7|33|34|41|56
82,14,44,0,32,10000,72,5,82|7|29|32|50
83,44,14,0,55,10000,8,7,83|30|44|55|61|71|74
84,14,15,0,27,10000,83,4,84|27|30|39
85,15,14,0,52,10000,57,3,85|41|80
86,15,44,0,87,10000,36,8,86|6|8|15|36|39|41|99
87,44,15,0,22,10000,71,6,87|21|25|45|81|89
88,16,24,0,27,10000,75,6,88|24|65|86|92|95
89,24,16,0,45,10000,76,7,89|9|24|42|68|73|80
90,16,89,0,22,10000,66,9,90|9|21|40|41|68|73|77|83
91,89,16,0,30,10000,45,4,91|74|97|99
92,16,27,0,92,10000,87,10,92|8|26|54|59|61|61|67|72|74
93,27,16,0,51,10000,69,9,93|20|21|21|22|51|72|86|95
94,16,72,0,29,10000,93,11,94|1|11|22|29|35|37|43|72|75|89
95,72,16,0,83,10000,73,10,95|2|31|33|35|40|46|55|60|65
96,16,56,0,94,10000,95,5,96|14|25|26|27
97,56,16,0,44,10000,34,7,97|50|54|69|82|94|100
98,17,17,0,27,10000,14,8,98|14|46|59|78|81|92|97
99,17,17,0,47,10000,86,8,99|3|13|52|54|72|74|96
100,17,23,0,7,10000,53,6,100|28|33|50|75|78
101,23,17,0,35,10000,35,7,101|3|12|23|63|64|91
102,18,27,0,34,10000,75,6,102|12|13|79|84|95
103,27,18,0,41,10000,34,6,103|1|3|25|34|50
104,18,26,0,46,10000,74,14,104|2|5|6|21|21|24|26|30|30|39|86|97|98
105,26,18,0,15,10000,48,6,105|8|25|46|51|61
106,18,47,0,83,10000,68,7,106|33|38|43|43|77|96
107,47,18,0,72,10000,39,6,107|21|33|37|49|54
108,18,47,0,37,10000,45,6,108|18|27|61|69|91
109,47,18,0,59,10000,20,9,109|6|14|34|35|50|61|80|94
110,20,72,0,41,10000,2,10,110|1|5|16|37|37|39|46|51|59
111,72,20,0,37,10000,21,6,111|7|35|38|59|82
112,20,31,0,6,10000,6,9,112|20|20|33|65|65|83|84|84
113,31,20,0,9,10000,27,7,113|4|6|20|35|55|69
114,21,46,0,12,10000,15,5,114|63|68|83|87
115,46,21,0,83,10000,43,6,115|28|51|73|81|92
116,23,31,0,37,10000,28,10,116|18|28|38|46|46|62|63|73|74
117,31,23,0,96,10000,75,4,117|13|40|68
118,24,27,0,22,10000,47,2,118|14
119,27,24,0,26,10000,86,6,119|20|21|36|63|76
120,25,28,0,55,10000,55,7,120|24|28|33|36|62|79
