demandID,SourceID,Destination,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
0,55,59,114.8,135.2,10,0,0,-1,105
1,68,11,80.8,83.2,10,0,0,-1,94
2,56,44,105.6,107.4,10,0,0,-1,77
3,5,56,67,73.7,10,0,0,-1,52
4,63,72,82.2,94.8,10,0,0,-1,79
5,31,103,71,78.1,10,0,0,-1,77
6,97,62,88.2,88.8,10,0,0,-1,92
7,72,51,55,60.5,10,0,0,-1,35
8,12,10,53,58.3,10,0,0,-1,54
9,41,16,86,94.6,10,0,0,-1,92
10,109,8,39.2,42.8,10,0,0,-1,64
11,46,72,32.2,41.8,10,0,0,-1,14
12,40,94,120,132,10,0,0,-1,131
13,108,25,127.4,128.6,10,0,0,-1,109
14,96,89,44.2,50.8,10,0,0,-1,17
15,34,55,87.6,107.4,10,0,0,-1,68
16,41,54,76.4,101.6,10,0,0,-1,75
17,35,7,71,78.1,10,0,0,-1,63
18,8,107,80.2,83.8,10,0,0,-1,91
19,85,101,22.2,28.8,10,0,0,-1,48
