demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
0,100,588,1589.3,1967.7,0,1,47.3,2,0,2015,1542
0,100,588,2062.3,4030,0,1,47.3,2,0,2015,1542
0,304,90,553.4,668.6,0,1,14.4,2,0,683,539
0,304,90,697.4,1366,0,1,14.4,2,0,683,539
0,173,526,291,291,0,1,0,2,0,291,291
0,173,526,291,582,0,1,0,2,0,291,291
0,382,617,1710.5,1890.5,0,1,22.5,2,0,1913,1688
0,382,617,1935.5,3826,0,1,22.5,2,0,1913,1688
0,566,440,915,915,0,1,0,2,0,915,915
0,566,440,915,1830,0,1,0,2,0,915,915
0,114,550,963.9,1107.1,0,1,17.9,2,0,1125,946
0,114,550,1142.9,2250,0,1,17.9,2,0,1125,946
0,522,364,553.8,608.2,0,1,6.8,2,0,615,547
0,522,364,621.8,1230,0,1,6.8,2,0,615,547
0,188,706,1223.1,1567.9,0,1,43.1,2,0,1611,1180
0,188,706,1654.1,3222,0,1,43.1,2,0,1611,1180
0,193,696,1996.4,2359.6,0,1,45.4,2,0,2405,1951
0,193,696,2450.4,4810,0,1,45.4,2,0,2405,1951
0,388,458,1588.5,1624.5,0,1,4.5,2,0,1629,1584
0,388,458,1633.5,3258,0,1,4.5,2,0,1629,1584
0,417,567,660.7,762.3,0,1,12.7,2,0,775,648
0,417,567,787.7,1550,0,1,12.7,2,0,775,648
0,289,426,1678.5,1770.5,0,1,11.5,2,0,1782,1667
0,289,426,1793.5,3564,0,1,11.5,2,0,1782,1667
0,512,88,722,722,0,1,0,2,0,722,722
0,512,88,722,1444,0,1,0,2,0,722,722
0,318,217,1459,1627,0,1,21,2,0,1648,1438
0,318,217,1669,3296,0,1,21,2,0,1648,1438
0,704,286,1092.9,1108.1,0,1,1.9,2,0,1110,1091
0,704,286,1111.9,2220,0,1,1.9,2,0,1110,1091
0,258,50,583.7,629.3,0,1,5.7,2,0,635,578
0,258,50,640.7,1270,0,1,5.7,2,0,635,578
0,460,562,936,960,0,1,3,2,0,963,933
0,460,562,966,1926,0,1,3,2,0,963,933
0,481,219,1441.7,1455.3,0,1,1.7,2,0,1457,1440
0,481,219,1458.7,2914,0,1,1.7,2,0,1457,1440
0,674,449,1610.2,1827.8,0,1,27.2,2,0,1855,1583
0,674,449,1882.2,3710,0,1,27.2,2,0,1855,1583
0,83,486,1257.9,1889.1,0,1,78.9,2,0,1968,1179
0,83,486,2046.9,3936,0,1,78.9,2,0,1968,1179
0,135,197,781,781,0,1,0,2,0,781,781
0,135,197,781,1562,0,1,0,2,0,781,781
0,282,657,1449.3,1555.7,0,1,13.3,2,0,1569,1436
0,282,657,1582.3,3138,0,1,13.3,2,0,1569,1436
0,561,470,1001.3,1187.7,0,1,23.3,2,0,1211,978
0,561,470,1234.3,2422,0,1,23.3,2,0,1211,978
0,195,341,1509.4,1656.6,0,1,18.4,2,0,1675,1491
0,195,341,1693.4,3350,0,1,18.4,2,0,1675,1491
0,753,584,1950.7,2084.3,0,1,16.7,2,0,2101,1934
0,753,584,2117.7,4202,0,1,16.7,2,0,2101,1934
0,45,416,977.6,982.4,0,1,0.6,2,0,983,977
0,45,416,983.6,1966,0,1,0.6,2,0,983,977
0,397,674,1230.6,1299.4,0,1,8.6,2,0,1308,1222
0,397,674,1316.6,2616,0,1,8.6,2,0,1308,1222
0,428,496,1537,1537,0,1,0,2,0,1537,1537
0,428,496,1537,3074,0,1,0,2,0,1537,1537
0,8,333,1083,1187,0,1,13,2,0,1200,1070
0,8,333,1213,2400,0,1,13,2,0,1200,1070
0,713,299,1327.4,1442.6,0,1,14.4,2,0,1457,1313
0,713,299,1471.4,2914,0,1,14.4,2,0,1457,1313
