LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,237,0,14,10000,5,0,
1,237,0,0,10,10000,5,0,
2,0,751,0,13,10000,19,0,
3,751,0,0,4,10000,4,0,
4,1,3,0,9,10000,5,0,
5,3,1,0,20,10000,8,0,
6,1,117,0,19,10000,10,0,
7,117,1,0,18,10000,15,0,
8,2,441,0,10,10000,18,0,
9,441,2,0,8,10000,9,0,
10,2,4,0,7,10000,7,0,
11,4,2,0,14,10000,10,0,
12,3,120,0,3,10000,2,0,
13,120,3,0,16,10000,20,0,
14,4,649,0,19,10000,2,0,
15,649,4,0,10,10000,9,0,
16,5,317,0,19,10000,15,0,
17,317,5,0,9,10000,2,0,
18,5,719,0,18,10000,16,0,
19,719,5,0,13,10000,10,0,
20,6,308,0,16,10000,12,0,
21,308,6,0,8,10000,8,0,
22,6,719,0,10,10000,6,0,
23,719,6,0,12,10000,13,0,
24,7,512,0,12,10000,4,0,
25,512,7,0,8,10000,14,0,
26,7,244,0,10,10000,9,0,
27,244,7,0,4,10000,12,0,
28,8,9,0,2,10000,15,0,
29,9,8,0,17,10000,4,0,
30,8,449,0,7,10000,17,0,
31,449,8,0,5,10000,20,0,
32,9,220,0,11,10000,15,0,
33,220,9,0,2,10000,11,0,
34,10,272,0,7,10000,13,0,
35,272,10,0,8,10000,4,0,
36,10,11,0,11,10000,2,0,
37,11,10,0,10,10000,16,0,
38,11,57,0,2,10000,13,0,
39,57,11,0,11,10000,13,0,
40,12,562,0,1,10000,11,0,
41,562,12,0,17,10000,8,0,
42,12,70,0,2,10000,8,0,
43,70,12,0,1,10000,12,0,
44,13,57,0,11,10000,10,0,
45,57,13,0,19,10000,20,0,
46,13,14,0,1,10000,4,0,
47,14,13,0,16,10000,18,0,
48,14,15,0,20,10000,12,0,
49,15,14,0,13,10000,18,0,
50,15,16,0,17,10000,16,0,
51,16,15,0,14,10000,2,0,
52,15,16,0,17,10000,11,0,
53,16,15,0,17,10000,10,0,
54,16,17,0,8,10000,7,0,
55,17,16,0,11,10000,4,0,
56,16,311,0,8,10000,17,0,
57,311,16,0,13,10000,10,0,
58,16,718,0,7,10000,10,0,
59,718,16,0,11,10000,10,0,
60,17,348,0,16,10000,3,0,
61,348,17,0,12,10000,17,0,
62,18,339,0,10,10000,17,0,
63,339,18,0,4,10000,7,0,
64,18,42,0,15,10000,16,0,
65,42,18,0,7,10000,7,0,
66,18,43,0,11,10000,3,0,
67,43,18,0,3,10000,9,0,
68,18,487,0,11,10000,2,0,
69,487,18,0,13,10000,9,0,
70,19,504,0,6,10000,18,0,
71,504,19,0,1,10000,8,0,
72,19,43,0,15,10000,5,0,
73,43,19,0,16,10000,13,0,
74,20,634,0,3,10000,16,0,
75,634,20,0,10,10000,6,0,
76,20,654,0,20,10000,8,0,
77,654,20,0,15,10000,6,0,
78,21,245,0,2,10000,6,0,
79,245,21,0,16,10000,10,0,
80,21,118,0,14,10000,18,0,
81,118,21,0,14,10000,14,0,
82,22,666,0,12,10000,1,0,
83,666,22,0,9,10000,11,0,
84,22,603,0,2,10000,19,0,
85,603,22,0,1,10000,16,0,
86,22,524,0,17,10000,13,0,
87,524,22,0,13,10000,4,0,
88,23,393,0,13,10000,2,0,
89,393,23,0,4,10000,8,0,
90,23,25,0,11,10000,4,0,
91,25,23,0,17,10000,4,0,
92,24,490,0,20,10000,5,0,
93,490,24,0,2,10000,7,0,
94,24,628,0,6,10000,14,0,
95,628,24,0,1,10000,16,0,
96,24,487,0,3,10000,3,0,
97,487,24,0,16,10000,16,0,
98,25,171,0,17,10000,16,0,
99,171,25,0,3,10000,15,0,
100,25,172,0,6,10000,18,0,
101,172,25,0,13,10000,4,0,
102,25,84,0,19,10000,5,0,
103,84,25,0,12,10000,4,0,
104,25,373,0,5,10000,15,0,
105,373,25,0,4,10000,2,0,
106,25,374,0,8,10000,1,0,
107,374,25,0,9,10000,14,0,
108,26,27,0,4,10000,12,0,
109,27,26,0,8,10000,11,0,
110,26,214,0,11,10000,8,0,
111,214,26,0,9,10000,14,0,
112,27,32,0,10,10000,11,0,
113,32,27,0,14,10000,11,0,
114,28,224,0,11,10000,17,0,
115,224,28,0,14,10000,20,0,
116,28,230,0,7,10000,13,0,
117,230,28,0,10,10000,13,0,
118,29,230,0,15,10000,9,0,
119,230,29,0,10,10000,19,0,
120,30,33,0,19,10000,14,0,
121,33,30,0,4,10000,6,0,
122,30,31,0,11,10000,10,0,
123,31,30,0,15,10000,13,0,
124,31,109,0,20,10000,10,0,
125,109,31,0,15,10000,7,0,
126,32,33,0,6,10000,6,0,
127,33,32,0,18,10000,7,0,
128,32,742,0,14,10000,1,0,
129,742,32,0,10,10000,13,0,
130,32,211,0,19,10000,20,0,
131,211,32,0,14,10000,11,0,
132,32,743,0,2,10000,5,0,
133,743,32,0,1,10000,7,0,
134,34,35,0,14,10000,12,0,
135,35,34,0,20,10000,18,0,
136,34,37,0,6,10000,5,0,
137,37,34,0,7,10000,19,0,
138,35,40,0,16,10000,9,0,
139,40,35,0,7,10000,17,0,
140,35,594,0,16,10000,15,0,
141,594,35,0,17,10000,9,0,
142,36,52,0,8,10000,12,0,
143,52,36,0,13,10000,20,0,
144,36,37,0,1,10000,17,0,
145,37,36,0,12,10000,19,0,
146,38,241,0,20,10000,7,0,
147,241,38,0,9,10000,20,0,
148,38,39,0,11,10000,13,0,
149,39,38,0,12,10000,20,0,
150,39,624,0,13,10000,14,0,
151,624,39,0,13,10000,2,0,
152,39,211,0,14,10000,10,0,
153,211,39,0,7,10000,19,0,
154,40,41,0,14,10000,16,0,
155,41,40,0,14,10000,18,0,
156,40,228,0,9,10000,17,0,
157,228,40,0,12,10000,2,0,
158,41,225,0,13,10000,10,0,
