LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,237,0,68,10000,8,7,0|86|185|248|255|442|486
1,237,0,0,72,10000,53,4,1|219|267|431
2,0,751,0,89,10000,97,8,2|29|81|124|135|153|322|400
3,751,0,0,41,10000,41,8,3|65|119|343|358|429|459|518
4,1,3,0,9,10000,83,9,4|185|212|371|404|423|547|564|587
5,3,1,0,72,10000,58,15,5|7|13|62|197|257|259|309|322|375|380|475|484|574|633
6,1,117,0,58,10000,48,4,6|289|439|601
7,117,1,0,13,10000,9,3,7|287|297
8,2,441,0,77,10000,8,7,8|2|185|345|470|513|559
9,441,2,0,43,10000,45,9,9|28|186|376|457|487|500|563|615
10,2,4,0,34,10000,21,6,10|9|223|260|278|544
11,4,2,0,7,10000,70,8,11|96|146|203|392|492|510|573
12,3,120,0,26,10000,22,8,12|156|172|172|422|445|496|612
13,120,3,0,80,10000,13,2,13|59
14,4,649,0,13,10000,18,7,14|1|40|93|240|367|435
15,649,4,0,32,10000,72,8,15|209|243|319|327|345|587|605
16,5,317,0,23,10000,9,8,16|113|152|159|181|242|252|347
17,317,5,0,77,10000,51,8,17|196|255|270|344|380|506|567
18,5,719,0,11,10000,53,7,18|132|270|308|467|538|559
19,719,5,0,47,10000,94,11,19|24|74|85|89|95|122|148|197|367|373
20,6,308,0,47,10000,54,5,20|6|50|139|239
21,308,6,0,47,10000,58,7,21|262|313|313|332|406|419
22,6,719,0,87,10000,67,13,22|76|138|216|245|252|274|366|380|415|521|525|599
23,719,6,0,30,10000,77,8,23|9|153|169|192|305|351|494
24,7,512,0,40,10000,18,9,24|30|32|46|74|108|140|264|518
25,512,7,0,53,10000,41,3,25|327|503
26,7,244,0,19,10000,69,6,26|51|240|308|633|636
27,244,7,0,25,10000,54,5,27|172|412|555|581
28,8,9,0,58,10000,11,17,28|7|55|69|74|87|105|129|156|169|252|269|353|478|483|548|615
29,9,8,0,30,10000,8,11,29|75|165|166|216|293|403|487|497|613|653
30,8,449,0,51,10000,97,9,30|5|51|161|189|330|476|487|627
31,449,8,0,70,10000,88,3,31|483|493
32,9,220,0,38,10000,84,10,32|33|63|93|215|229|272|309|426|642
33,220,9,0,13,10000,17,5,33|379|460|521|611
34,10,272,0,24,10000,74,9,34|28|103|125|169|389|483|495|554
35,272,10,0,75,10000,19,2,35|176
36,10,11,0,43,10000,4,5,36|55|431|437|507
37,11,10,0,10,10000,3,8,37|11|169|242|411|454|471|573
38,11,57,0,73,10000,72,7,38|36|101|124|220|377|589
39,57,11,0,22,10000,2,6,39|51|113|149|332|517
40,12,562,0,7,10000,14,5,40|139|242|281|303
41,562,12,0,67,10000,14,7,41|42|67|86|97|186|253
42,12,70,0,74,10000,80,7,42|105|121|219|326|369|548
43,70,12,0,49,10000,30,9,43|70|231|404|457|486|490|499|517
44,13,57,0,23,10000,72,6,44|39|75|118|128|419
45,57,13,0,38,10000,51,10,45|27|79|82|134|333|358|408|469|549
46,13,14,0,33,10000,5,8,46|74|296|415|455|564|590|596
47,14,13,0,82,10000,25,5,47|45|309|510|532
48,14,15,0,14,10000,66,8,48|2|28|40|92|386|526|608
49,15,14,0,64,10000,22,4,49|106|121|368
50,15,16,0,69,10000,72,8,50|51|164|281|291|295|498|589
51,16,15,0,38,10000,23,2,51|45
52,15,16,0,98,10000,46,8,52|21|108|191|293|296|544|551
53,16,15,0,31,10000,60,7,53|267|326|526|537|569|592
54,16,17,0,43,10000,88,6,54|54|169|273|386|410
55,17,16,0,8,10000,10,5,55|4|216|297|577
56,16,311,0,46,10000,12,8,56|53|157|198|265|317|372|539
57,311,16,0,22,10000,29,5,57|61|115|144|428
58,16,718,0,5,10000,35,10,58|46|122|167|172|274|310|363|363|384
59,718,16,0,36,10000,24,5,59|83|286|316|507
60,17,348,0,77,10000,30,7,60|197|234|252|269|507|539
61,348,17,0,73,10000,68,11,61|30|41|62|100|138|430|464|514|573|584
62,18,339,0,85,10000,16,3,62|138|185
63,339,18,0,92,10000,44,7,63|22|80|113|123|264|600
64,18,42,0,30,10000,72,9,64|7|47|63|338|352|398|485|628
65,42,18,0,78,10000,11,13,65|27|41|138|172|176|318|319|402|526|563|593|619
66,18,43,0,44,10000,48,9,66|116|210|242|310|412|422|507|527
67,43,18,0,27,10000,67,6,67|159|203|262|457|539
68,18,487,0,1,10000,5,8,68|114|201|367|416|435|450|590
69,487,18,0,46,10000,79,7,69|28|53|186|272|563|589
70,19,504,0,8,10000,82,7,70|22|51|98|380|511|560
71,504,19,0,14,10000,82,6,71|49|112|167|487|550
72,19,43,0,72,10000,20,3,72|173|289
73,43,19,0,48,10000,87,6,73|52|73|74|215|269
74,20,634,0,55,10000,41,9,74|141|182|231|289|323|327|428|458
75,634,20,0,17,10000,12,9,75|29|51|111|154|334|360|429|466
76,20,654,0,76,10000,93,6,76|73|88|343|492|497
77,654,20,0,72,10000,16,6,77|46|113|310|423|559
78,21,245,0,81,10000,81,4,78|72|127|351
79,245,21,0,8,10000,54,5,79|85|96|156|441
80,21,118,0,52,10000,18,6,80|89|115|139|144|352
81,118,21,0,58,10000,94,11,81|40|47|51|75|124|169|249|301|478|482
82,22,666,0,37,10000,38,6,82|26|446|472|517|564
83,666,22,0,84,10000,57,7,83|26|244|316|439|522|543
84,22,603,0,58,10000,41,9,84|88|108|260|297|419|420|473|523
85,603,22,0,33,10000,34,5,85|62|65|153|209
86,22,524,0,66,10000,69,17,86|109|169|205|212|267|287|351|362|374|443|444|464|546|548|558|573
87,524,22,0,44,10000,46,7,87|4|33|354|441|462|467
