demandID,SourceID,Destination,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
0,270,603,329.6,352.4,10,0,0,-1,331
1,211,304,205.4,212.6,10,0,0,-1,158
2,61,297,307.4,317.6,10,0,0,-1,297
3,425,123,628.4,713.6,10,0,0,-1,525
4,247,535,324.2,372.8,10,0,0,-1,270
5,634,304,251.2,269.8,10,0,0,-1,159
6,253,181,232.6,261.4,10,0,0,-1,147
7,462,218,224.6,232.4,10,0,0,-1,215
8,218,648,125,137.5,10,0,0,-1,161
9,106,744,123,135.3,10,0,0,-1,147
10,172,128,400.6,471.4,10,0,0,-1,359
11,183,170,176,194,10,0,0,-1,145
12,132,513,424.4,497.6,10,0,0,-1,288
13,139,616,402.8,462.2,10,0,0,-1,271
14,90,5,176,188,10,0,0,-1,203
15,553,453,253.2,289.8,10,0,0,-1,191
16,563,172,84.8,90.2,10,0,0,-1,50
17,727,267,120,132,10,0,0,-1,98
18,21,537,249.4,250.6,10,0,0,-1,229
19,692,749,488,527,10,0,0,-1,422
