demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
0,116,104,346,346,0,1,0,2,0,346,346
0,116,104,346,692,0,1,0,2,0,346,346
0,60,104,163,163,0,1,0,2,0,163,163
0,60,104,163,326,0,1,0,2,0,163,163
0,123,59,140,140,0,1,0,2,0,140,140
0,123,59,140,280,0,1,0,2,0,140,140
0,114,36,421,421,0,1,0,2,0,421,421
0,114,36,421,842,0,1,0,2,0,421,421
0,118,23,101,101,0,1,0,2,0,101,101
0,118,23,101,202,0,1,0,2,0,101,101
0,10,52,298.9,354.1,0,1,6.9,2,0,361,292
0,10,52,367.9,722,0,1,6.9,2,0,361,292
0,34,104,128,128,0,1,0,2,0,128,128
0,34,104,128,256,0,1,0,2,0,128,128
0,21,82,333.9,389.1,0,1,6.9,2,0,396,327
0,21,82,402.9,792,0,1,6.9,2,0,396,327
0,44,67,217,217,0,1,0,2,0,217,217
0,44,67,217,434,0,1,0,2,0,217,217
0,76,71,123,123,0,1,0,2,0,123,123
0,76,71,123,246,0,1,0,2,0,123,123
0,31,79,223,223,0,1,0,2,0,223,223
0,31,79,223,446,0,1,0,2,0,223,223
0,28,89,235.2,268.8,0,1,4.2,2,0,273,231
0,28,89,277.2,546,0,1,4.2,2,0,273,231
0,122,93,259.2,292.8,0,1,4.2,2,0,297,255
0,122,93,301.2,594,0,1,4.2,2,0,297,255
0,18,125,273,273,0,1,0,2,0,273,273
0,18,125,273,546,0,1,0,2,0,273,273
0,58,102,155.2,212.8,0,1,7.2,2,0,220,148
0,58,102,227.2,440,0,1,7.2,2,0,220,148
0,71,107,201,201,0,1,0,2,0,201,201
0,71,107,201,402,0,1,0,2,0,201,201
0,17,59,195,195,0,1,0,2,0,195,195
0,17,59,195,390,0,1,0,2,0,195,195
0,31,123,151,151,0,1,0,2,0,151,151
0,31,123,151,302,0,1,0,2,0,151,151
0,96,22,126,126,0,1,0,2,0,126,126
0,96,22,126,252,0,1,0,2,0,126,126
0,19,106,235,235,0,1,0,2,0,235,235
0,19,106,235,470,0,1,0,2,0,235,235
0,74,53,147,147,0,1,0,2,0,147,147
0,74,53,147,294,0,1,0,2,0,147,147
0,83,95,321.6,398.4,0,1,9.6,2,0,408,312
0,83,95,417.6,816,0,1,9.6,2,0,408,312
0,0,120,204,204,0,1,0,2,0,204,204
0,0,120,204,408,0,1,0,2,0,204,204
0,28,77,175,175,0,1,0,2,0,175,175
0,28,77,175,350,0,1,0,2,0,175,175
0,64,59,102,102,0,1,0,2,0,102,102
0,64,59,102,204,0,1,0,2,0,102,102
0,29,84,176,176,0,1,0,2,0,176,176
0,29,84,176,352,0,1,0,2,0,176,176
0,13,17,176,176,0,1,0,2,0,176,176
0,13,17,176,352,0,1,0,2,0,176,176
0,50,24,293.3,343.7,0,1,6.3,2,0,350,287
0,50,24,356.3,700,0,1,6.3,2,0,350,287
0,15,101,204,204,0,1,0,2,0,204,204
0,15,101,204,408,0,1,0,2,0,204,204
0,118,54,376.9,432.1,0,1,6.9,2,0,439,370
0,118,54,445.9,878,0,1,6.9,2,0,439,370
