LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,102,0,50,10000,75,0,
1,102,0,0,40,10000,67,0,
2,1,102,0,78,10000,87,0,
3,102,1,0,61,10000,47,0,
4,2,102,0,82,10000,42,0,
5,102,2,0,65,10000,40,0,
6,3,102,0,45,10000,88,0,
7,102,3,0,82,10000,9,0,
8,4,102,0,58,10000,8,0,
9,102,4,0,60,10000,92,0,
10,5,102,0,79,10000,28,0,
11,102,5,0,12,10000,32,0,
12,6,102,0,42,10000,2,0,
13,102,6,0,7,10000,99,0,
14,7,102,0,23,10000,67,0,
15,102,7,0,64,10000,93,0,
16,8,102,0,51,10000,14,0,
17,102,8,0,51,10000,10,0,
18,9,102,0,53,10000,46,0,
19,102,9,0,22,10000,68,0,
20,10,59,0,85,10000,99,0,
21,59,10,0,53,10000,96,0,
22,10,13,0,56,10000,81,0,
23,13,10,0,24,10000,83,0,
24,10,46,0,88,10000,19,0,
25,46,10,0,30,10000,15,0,
26,11,66,0,51,10000,30,0,
27,66,11,0,90,10000,80,0,
28,12,13,0,30,10000,66,0,
29,13,12,0,18,10000,51,0,
30,13,39,0,23,10000,48,0,
31,39,13,0,6,10000,17,0,
32,13,40,0,38,10000,94,0,
33,40,13,0,44,10000,67,0,
34,13,41,0,12,10000,26,0,
35,41,13,0,42,10000,64,0,
36,13,43,0,40,10000,5,0,
37,43,13,0,3,10000,67,0,
38,13,45,0,79,10000,40,0,
39,45,13,0,30,10000,20,0,
40,13,46,0,65,10000,21,0,
41,46,13,0,91,10000,54,0,
42,13,18,0,56,10000,53,0,
43,18,13,0,84,10000,42,0,
44,13,19,0,89,10000,4,0,
45,19,13,0,85,10000,19,0,
46,13,42,0,80,10000,19,0,
47,42,13,0,92,10000,30,0,
48,14,66,0,4,10000,50,0,
49,66,14,0,97,10000,50,0,
50,15,66,0,34,10000,6,0,
51,66,15,0,34,10000,87,0,
52,16,66,0,76,10000,3,0,
53,66,16,0,20,10000,12,0,
54,17,66,0,22,10000,77,0,
55,66,17,0,84,10000,78,0,
56,20,43,0,99,10000,59,0,
57,43,20,0,95,10000,40,0,
58,21,43,0,32,10000,35,0,
59,43,21,0,50,10000,5,0,
60,22,43,0,78,10000,95,0,
61,43,22,0,33,10000,85,0,
62,23,43,0,95,10000,2,0,
63,43,23,0,98,10000,49,0,
64,24,43,0,65,10000,79,0,
65,43,24,0,16,10000,73,0,
66,25,43,0,48,10000,63,0,
67,43,25,0,58,10000,19,0,
68,26,43,0,79,10000,60,0,
69,43,26,0,53,10000,46,0,
70,27,126,0,4,10000,38,0,
71,126,27,0,57,10000,28,0,
72,28,126,0,32,10000,77,0,
73,126,28,0,10,10000,32,0,
74,29,126,0,6,10000,17,0,
75,126,29,0,52,10000,26,0,
76,30,126,0,82,10000,68,0,
77,126,30,0,48,10000,6,0,
78,31,126,0,81,10000,46,0,
79,126,31,0,87,10000,67,0,
80,32,126,0,17,10000,58,0,
81,126,32,0,36,10000,67,0,
82,33,126,0,5,10000,84,0,
83,126,33,0,86,10000,37,0,
84,34,126,0,21,10000,76,0,
85,126,34,0,30,10000,87,0,
86,35,126,0,64,10000,31,0,
87,126,35,0,49,10000,90,0,
88,36,126,0,24,10000,60,0,
89,126,36,0,85,10000,88,0,
90,37,43,0,6,10000,66,0,
91,43,37,0,96,10000,16,0,
92,38,43,0,2,10000,47,0,
93,43,38,0,5,10000,6,0,
94,43,44,0,76,10000,64,0,
95,44,43,0,7,10000,28,0,
96,43,65,0,67,10000,56,0,
97,65,43,0,59,10000,46,0,
98,43,68,0,55,10000,31,0,
99,68,43,0,57,10000,46,0,
100,43,89,0,99,10000,31,0,
101,89,43,0,50,10000,22,0,
102,43,90,0,80,10000,41,0,
103,90,43,0,54,10000,16,0,
104,43,91,0,93,10000,94,0,
105,91,43,0,91,10000,74,0,
106,43,92,0,98,10000,92,0,
107,92,43,0,13,10000,57,0,
108,43,93,0,30,10000,4,0,
109,93,43,0,26,10000,22,0,
110,43,94,0,10,10000,30,0,
111,94,43,0,36,10000,4,0,
112,43,95,0,13,10000,83,0,
113,95,43,0,53,10000,79,0,
114,43,96,0,56,10000,95,0,
115,96,43,0,58,10000,41,0,
116,43,97,0,48,10000,69,0,
117,97,43,0,75,10000,14,0,
118,43,98,0,8,10000,30,0,
119,98,43,0,12,10000,61,0,
120,43,99,0,4,10000,9,0,
121,99,43,0,95,10000,29,0,
122,43,100,0,61,10000,96,0,
123,100,43,0,96,10000,11,0,
124,43,113,0,41,10000,91,0,
125,113,43,0,13,10000,70,0,
126,43,114,0,3,10000,10,0,
127,114,43,0,60,10000,84,0,
128,43,115,0,25,10000,96,0,
129,115,43,0,58,10000,32,0,
130,43,116,0,10,10000,85,0,
131,116,43,0,13,10000,45,0,
132,43,117,0,27,10000,36,0,
133,117,43,0,58,10000,19,0,
134,43,118,0,70,10000,24,0,
135,118,43,0,83,10000,52,0,
136,46,66,0,27,10000,77,0,
137,66,46,0,56,10000,38,0,
138,46,60,0,6,10000,50,0,
139,60,46,0,28,10000,26,0,
140,47,50,0,12,10000,55,0,
141,50,47,0,91,10000,6,0,
142,48,50,0,21,10000,58,0,
143,50,48,0,92,10000,65,0,
144,49,50,0,69,10000,95,0,
145,50,49,0,17,10000,98,0,
146,50,64,0,97,10000,98,0,
147,64,50,0,8,10000,7,0,
148,50,72,0,57,10000,17,0,
149,72,50,0,33,10000,33,0,
150,50,55,0,87,10000,60,0,
151,55,50,0,4,10000,62,0,
152,50,56,0,79,10000,42,0,
153,56,50,0,50,10000,77,0,
154,50,57,0,70,10000,61,0,
155,57,50,0,91,10000,27,0,
156,50,58,0,70,10000,68,0,
157,58,50,0,98,10000,28,0,
158,50,59,0,69,10000,95,0,
159,59,50,0,80,10000,78,0,
160,50,61,0,84,10000,55,0,
161,61,50,0,95,10000,36,0,
162,50,62,0,42,10000,79,0,
