LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,102,0,50,10000,75,3,0|38|63
1,102,0,0,40,10000,67,5,1|4|7|56|62
2,1,102,0,78,10000,87,13,2|1|4|7|13|16|20|46|48|49|55|60|61
3,102,1,0,61,10000,47,5,3|17|26|51|51
4,2,102,0,82,10000,42,3,4|6|43
5,102,2,0,65,10000,40,7,5|8|22|33|34|44|51
6,3,102,0,45,10000,88,10,6|4|5|21|22|30|30|37|40|41
7,102,3,0,82,10000,9,8,7|12|20|26|28|28|46|51
8,4,102,0,58,10000,8,9,8|9|22|29|32|43|43|53|62
9,102,4,0,60,10000,92,3,9|20|33
10,5,102,0,79,10000,28,6,10|1|13|18|18|65
11,102,5,0,12,10000,32,3,11|3|16
12,6,102,0,42,10000,2,2,12|9
13,102,6,0,7,10000,99,4,13|6|40|46
14,7,102,0,23,10000,67,5,14|3|6|27|40
15,102,7,0,64,10000,93,5,15|3|11|18|41
16,8,102,0,51,10000,14,3,16|30|38
17,102,8,0,51,10000,10,6,17|20|23|26|40|45
18,9,102,0,53,10000,46,5,18|1|28|50|61
19,102,9,0,22,10000,68,7,19|8|12|13|24|31|35
20,10,59,0,85,10000,99,10,20|3|7|7|21|21|37|46|63|63
21,59,10,0,53,10000,96,12,21|3|6|12|23|27|28|28|31|40|43|43
22,10,13,0,56,10000,81,7,22|17|28|33|46|65|67
23,13,10,0,24,10000,83,8,23|7|11|21|22|34|34|44
24,10,46,0,88,10000,19,3,24|6|30
25,46,10,0,30,10000,15,6,25|9|16|27|45|50
26,11,66,0,51,10000,30,8,26|5|9|16|33|46|54|55
27,66,11,0,90,10000,80,4,27|8|15|46
28,12,13,0,30,10000,66,6,28|5|11|14|27|39
29,13,12,0,18,10000,51,6,29|24|28|46|52|53
30,13,39,0,23,10000,48,6,30|7|9|28|36|37
31,39,13,0,6,10000,17,5,31|3|12|22|41
32,13,40,0,38,10000,94,5,32|1|12|26|27
33,40,13,0,44,10000,67,8,33|2|5|13|16|37|40|50
34,13,41,0,12,10000,26,8,34|1|3|28|30|36|51|52
35,41,13,0,42,10000,64,3,35|17|49
36,13,43,0,40,10000,5,3,36|22|47
37,43,13,0,3,10000,67,8,37|5|13|26|52|52|55|63
38,13,45,0,79,10000,40,5,38|4|26|34|43
39,45,13,0,30,10000,20,6,39|4|13|13|34|48
40,13,46,0,65,10000,21,3,40|16|17
41,46,13,0,91,10000,54,5,41|9|33|40|41
42,13,18,0,56,10000,53,10,42|5|7|8|27|30|39|47|49|65
43,18,13,0,84,10000,42,4,43|5|8|28
44,13,19,0,89,10000,4,4,44|20|28|56
