demandID,SourceID,Destination,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
0,117,97,35,38.5,10,0,0,-1,24
1,52,2,61,67.1,10,0,0,-1,55
2,85,52,25,27.5,10,0,0,-1,32
3,5,15,36,39.6,10,0,0,-1,52
4,93,88,79,86.9,10,0,0,-1,61
5,36,85,25,27.5,10,0,0,-1,21
6,91,2,81,89.1,10,0,0,-1,86
7,57,95,69,78,10,0,0,-1,63
8,7,43,40,44,10,0,0,-1,57
9,102,116,43,47.3,10,0,0,-1,59
10,118,16,60,66,10,0,0,-1,45
11,97,91,11,12.1,10,0,0,-1,8
12,0,66,28,30.8,10,0,0,-1,43
13,40,78,61,67.1,10,0,0,-1,44
14,51,40,75,84,10,0,0,-1,51
15,28,20,70.8,97.2,10,0,0,-1,70
16,71,97,97,106,10,0,0,-1,63
17,19,25,26,28.6,10,0,0,-1,31
18,71,61,37,40.7,10,0,0,-1,29
19,43,108,66.8,75.2,10,0,0,-1,50
