demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
0,13,8,211,211,0,1,0,2,0,211,211
0,13,8,211,422,0,1,0,2,0,211,211
0,130,32,29,29,0,1,0,2,0,29,29
0,130,32,29,58,0,1,0,2,0,29,29
0,86,33,910.5,1378.5,0,1,58.5,2,0,1437,852
0,86,33,1495.5,2874,0,1,58.5,2,0,1437,852
0,121,8,420,676,0,1,32,2,0,708,388
0,121,8,740,1416,0,1,32,2,0,708,388
0,131,5,606.2,711.8,0,1,13.2,2,0,725,593
0,131,5,738.2,1450,0,1,13.2,2,0,725,593
0,114,86,859.6,952.4,0,1,11.6,2,0,964,848
0,114,86,975.6,1928,0,1,11.6,2,0,964,848
0,0,132,757.2,1086.8,0,1,41.2,2,0,1128,716
0,0,132,1169.2,2256,0,1,41.2,2,0,1128,716
0,130,39,306.3,340.7,0,1,4.3,2,0,345,302
0,130,39,349.3,690,0,1,4.3,2,0,345,302
0,48,0,314,314,0,1,0,2,0,314,314
0,48,0,314,628,0,1,0,2,0,314,314
0,98,110,692.9,900.1,0,1,25.9,2,0,926,667
0,98,110,951.9,1852,0,1,25.9,2,0,926,667
0,127,132,728,808,0,1,10,2,0,818,718
0,127,132,828,1636,0,1,10,2,0,818,718
0,86,136,925,1005,0,1,10,2,0,1015,915
0,86,136,1025,2030,0,1,10,2,0,1015,915
0,48,88,415.4,434.6,0,1,2.4,2,0,437,413
0,48,88,439.4,874,0,1,2.4,2,0,437,413
0,115,130,115.6,120.4,0,1,0.6,2,0,121,115
0,115,130,121.6,242,0,1,0.6,2,0,121,115
0,37,54,143.5,195.5,0,1,6.5,2,0,202,137
0,37,54,208.5,404,0,1,6.5,2,0,202,137
0,142,50,790.1,854.9,0,1,8.1,2,0,863,782
0,142,50,871.1,1726,0,1,8.1,2,0,863,782
0,54,127,528.1,624.9,0,1,12.1,2,0,637,516
0,54,127,649.1,1274,0,1,12.1,2,0,637,516
0,75,132,347.5,359.5,0,1,1.5,2,0,361,346
0,75,132,362.5,722,0,1,1.5,2,0,361,346
0,7,43,469.7,531.3,0,1,7.7,2,0,539,462
0,7,43,546.7,1078,0,1,7.7,2,0,539,462
0,141,138,90.6,151.4,0,1,7.6,2,0,159,83
0,141,138,166.6,318,0,1,7.6,2,0,159,83
0,48,110,1220.9,1548.1,0,1,40.9,2,0,1589,1180
0,48,110,1629.9,3178,0,1,40.9,2,0,1589,1180
0,79,48,328,328,0,1,0,2,0,328,328
0,79,48,328,656,0,1,0,2,0,328,328
0,97,64,187,187,0,1,0,2,0,187,187
0,97,64,187,374,0,1,0,2,0,187,187
0,79,138,524.1,604.9,0,1,10.1,2,0,615,514
0,79,138,625.1,1230,0,1,10.1,2,0,615,514
0,57,33,448.9,672.1,0,1,27.9,2,0,700,421
0,57,33,727.9,1400,0,1,27.9,2,0,700,421
0,103,39,454.3,488.7,0,1,4.3,2,0,493,450
0,103,39,497.3,986,0,1,4.3,2,0,493,450
0,20,36,193.5,205.5,0,1,1.5,2,0,207,192
0,20,36,208.5,414,0,1,1.5,2,0,207,192
0,22,61,409,409,0,1,0,2,0,409,409
0,22,61,409,818,0,1,0,2,0,409,409
0,124,130,947.3,1213.7,0,1,33.3,2,0,1247,914
0,124,130,1280.3,2494,0,1,33.3,2,0,1247,914
0,46,9,312,312,0,1,0,2,0,312,312
0,46,9,312,624,0,1,0,2,0,312,312
