LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,8,0,52,10000,86,4,0|5|23|24
1,8,0,0,69,10000,50,7,1|13|26|41|60|64|82
2,0,10,0,19,10000,48,9,2|6|11|38|50|61|65|77|81
3,10,0,0,96,10000,95,1,3
4,1,91,0,27,10000,37,3,4|41|44
5,91,1,0,60,10000,55,4,5|9|13|65
6,1,126,0,30,10000,98,7,6|14|28|33|50|67|72
7,126,1,0,57,10000,2,6,7|8|20|30|33|43
8,1,126,0,43,10000,28,5,8|7|28|36|60
9,126,1,0,25,10000,28,5,9|12|16|54|56
10,2,3,0,55,10000,51,5,10|16|28|39|50
11,3,2,0,60,10000,9,1,11
12,2,5,0,65,10000,9,9,12|2|20|21|21|26|40|69|92
13,5,2,0,24,10000,35,4,13|4|8|63
14,3,49,0,8,10000,99,6,14|30|43|59|60|63
15,49,3,0,87,10000,96,1,15
16,4,5,0,22,10000,41,3,16|43|65
17,5,4,0,78,10000,49,6,17|18|38|46|51|63
18,5,8,0,8,10000,70,4,18|39|73|75
19,8,5,0,47,10000,99,4,19|21|42|65
20,5,6,0,15,10000,82,9,20|6|6|11|20|24|27|40|65
21,6,5,0,92,10000,68,8,21|13|19|23|43|43|44|62
22,6,7,0,28,10000,85,5,22|37|39|44|89
23,7,6,0,89,10000,81,10,23|1|9|16|21|29|41|59|62|80
24,7,9,0,26,10000,32,5,24|3|17|33|79
25,9,7,0,41,10000,2,4,25|6|12|43
26,9,18,0,65,10000,73,5,26|12|30|46|52
27,18,9,0,8,10000,70,1,27
28,9,19,0,52,10000,19,7,28|14|33|46|50|61|62
29,19,9,0,6,10000,83,5,29|31|50|55|63
30,10,13,0,72,10000,75,4,30|12|41|52
31,13,10,0,83,10000,30,7,31|19|29|46|62|69|80
32,11,16,0,38,10000,16,3,32|26|54
33,16,11,0,29,10000,71,5,33|6|36|36|68
34,11,17,0,60,10000,95,3,34|43|65
35,17,11,0,73,10000,39,7,35|6|17|18|20|40|62
36,11,12,0,78,10000,86,3,36|72|72
37,12,11,0,70,10000,24,8,37|27|38|41|55|65|73|74
38,11,31,0,97,10000,51,8,38|7|21|26|27|41|43|43
39,31,11,0,93,10000,6,7,39|12|13|22|29|47|73
40,12,13,0,54,10000,7,8,40|12|20|25|39|84|86|86
41,13,12,0,80,10000,70,6,41|11|13|70|73|80
42,12,30,0,9,10000,59,6,42|8|16|32|39|73
43,30,12,0,54,10000,25,5,43|18|27|59|77
44,14,35,0,80,10000,78,4,44|7|23|65
45,35,14,0,38,10000,96,2,45|34
46,14,30,0,61,10000,95,7,46|30|37|47|49|69|73
47,30,14,0,85,10000,48,3,47|7|76
48,15,18,0,29,10000,24,5,48|50|55|58|74
49,18,15,0,28,10000,27,6,49|45|61|66|69|91
50,15,19,0,7,10000,32,5,50|9|11|65|69
51,19,15,0,9,10000,48,6,51|38|55|60|63|74
52,15,71,0,2,10000,31,6,52|26|40|47|48|73
53,71,15,0,98,10000,8,4,53|4|15|28
54,16,17,0,74,10000,70,9,54|1|7|17|20|26|28|41|63
55,17,16,0,55,10000,71,4,55|22|22|72
56,19,119,0,94,10000,39,5,56|8|39|46|72
57,119,19,0,28,10000,92,2,57|64
58,20,26,0,88,10000,17,4,58|30|56|63
59,26,20,0,19,10000,88,5,59|18|27|43|58
60,20,52,0,8,10000,65,3,60|27|46
61,52,20,0,91,10000,32,5,61|3|59|72|73
62,20,21,0,50,10000,58,7,62|6|13|25|56|64|81
63,21,20,0,47,10000,58,3,63|30|79
64,21,25,0,31,10000,42,1,64
65,25,21,0,74,10000,76,8,65|5|22|30|46|51|61|76
66,22,23,0,17,10000,73,9,66|1|15|21|36|46|46|68|68
67,23,22,0,34,10000,51,5,67|13|43|52|78
68,22,37,0,71,10000,41,3,68|12|50
69,37,22,0,95,10000,17,5,69|30|40|43|69
70,22,29,0,10,10000,81,6,70|1|3|35|63|73
71,29,22,0,87,10000,33,6,71|4|30|45|50|62
72,23,25,0,45,10000,55,8,72|5|27|46|49|50|60|68
73,25,23,0,59,10000,47,7,73|6|16|26|33|63|80
74,23,54,0,88,10000,90,3,74|2|49
75,54,23,0,98,10000,70,9,75|12|23|38|40|43|45|48|63
76,24,25,0,31,10000,41,6,76|11|23|28|67|68
77,25,24,0,80,10000,41,8,77|24|26|28|36|41|55|67
78,24,27,0,48,10000,18,5,78|2|12|13|18
79,27,24,0,61,10000,88,5,79|9|16|21|21
80,24,76,0,43,10000,65,5,80|6|8|13|51
81,76,24,0,29,10000,16,7,81|14|31|31|42|80|80
82,25,29,0,52,10000,99,5,82|47|75|81|89
83,29,25,0,46,10000,26,5,83|4|23|39|72
84,25,84,0,52,10000,46,8,84|12|13|34|39|65|70|74
85,84,25,0,85,10000,19,3,85|30|80
86,26,81,0,48,10000,2,6,86|4|27|63|81|83
87,81,26,0,71,10000,95,9,87|25|58|59|65|65|68|74|75
88,27,81,0,46,10000,49,6,88|7|28|46|55|63
89,81,27,0,42,10000,42,4,89|4|17|23
90,28,37,0,58,10000,17,6,90|20|20|21|57|89
91,37,28,0,20,10000,21,6,91|13|16|43|52|65
92,31,34,0,73,10000,12,7,92|5|12|18|30|81|85
93,34,31,0,96,10000,42,7,93|13|24|30|40|46|64
94,32,129,0,57,10000,85,1,94
95,129,32,0,78,10000,51,4,95|20|26|41
96,32,130,0,21,10000,51,11,96|7|14|16|27|61|63|74|75|81|85
97,130,32,0,4,10000,29,8,97|8|14|24|30|34|58|60
98,32,131,0,51,10000,75,6,98|10|40|55|80|80
99,131,32,0,23,10000,93,4,99|11|50|53
100,32,117,0,49,10000,71,4,100|46|61|80
101,117,32,0,93,10000,5,2,101|3
102,33,117,0,38,10000,91,8,102|1|12|27|29|47|49|72
103,117,33,0,45,10000,85,4,103|2|38|40
104,33,38,0,47,10000,64,6,104|11|23|36|69|91
105,38,33,0,83,10000,23,5,105|16|25|63|68
106,34,60,0,44,10000,47,6,106|4|6|27|40|63
107,60,34,0,77,10000,92,6,107|4|18|30|33|41
108,35,68,0,21,10000,99,7,108|17|30|30|51|60|65
109,68,35,0,95,10000,26,6,109|8|11|21|35|41
110,36,37,0,18,10000,62,3,110|7|54
111,37,36,0,77,10000,10,9,111|3|5|17|26|43|48|54|62
112,36,39,0,39,10000,25,10,112|3|26|33|41|46|55|62|72|75
113,39,36,0,81,10000,90,3,113|7|13
114,37,74,0,87,10000,56,2,114|7
115,74,37,0,12,10000,9,11,115|3|39|48|50|68|73|75|81|81|83
116,37,118,0,74,10000,58,9,116|4|7|21|26|37|63|87|89
117,118,37,0,76,10000,36,4,117|8|12|17
118,38,39,0,97,10000,96,7,118|6|35|36|43|60|84
119,39,38,0,42,10000,44,9,119|26|39|54|56|61|61|72|77
120,40,41,0,43,10000,44,5,120|11|47|60|62
121,41,40,0,27,10000,45,4,121|11|52|85
