demandID,SourceID,Destination,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
0,21,92,107.2,158.8,10,0,0,-1,111
1,92,118,128.6,157.4,10,0,0,-1,125
2,107,126,44,47,10,0,0,-1,19
3,57,14,65,71.5,10,0,0,-1,71
4,96,140,91.6,129.4,10,0,0,-1,74
5,36,124,161,173,10,0,0,-1,166
6,37,12,137.2,167.8,10,0,0,-1,122
7,131,137,200.2,233.8,10,0,0,-1,207
8,87,38,85.4,86.6,10,0,0,-1,107
9,37,39,14,15.4,10,0,0,-1,12
10,45,10,86,94.6,10,0,0,-1,82
11,5,48,46,50.6,10,0,0,-1,36
12,54,7,168.2,201.8,10,0,0,-1,124
13,100,85,39,42,10,0,0,-1,55
14,106,37,96.2,120.8,10,0,0,-1,82
15,48,132,165.4,181.6,10,0,0,-1,146
16,129,34,135,153,10,0,0,-1,115
17,96,78,94,103.4,10,0,0,-1,82
18,36,26,46,50.6,10,0,0,-1,60
19,54,107,164.6,202.4,10,0,0,-1,148
