demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
0,18,40,840,840,0,1,0,2,0,840,840
0,18,40,840,1680,0,1,0,2,0,840,840
0,6,54,838,838,0,1,0,2,0,838,838
0,6,54,838,1676,0,1,0,2,0,838,838
0,23,40,412.4,559.6,0,1,18.4,2,0,578,394
0,23,40,596.4,1156,0,1,18.4,2,0,578,394
0,86,27,395,395,0,1,0,2,0,395,395
0,86,27,395,790,0,1,0,2,0,395,395
0,34,66,1526,1526,0,1,0,2,0,1526,1526
0,34,66,1526,3052,0,1,0,2,0,1526,1526
0,4,2,113,113,0,1,0,2,0,113,113
0,4,2,113,226,0,1,0,2,0,113,113
0,54,86,1206.2,1295.8,0,1,11.2,2,0,1307,1195
0,54,86,1318.2,2614,0,1,11.2,2,0,1307,1195
0,22,14,1100,1100,0,1,0,2,0,1100,1100
0,22,14,1100,2200,0,1,0,2,0,1100,1100
0,19,4,188,188,0,1,0,2,0,188,188
0,19,4,188,376,0,1,0,2,0,188,188
0,56,62,276,276,0,1,0,2,0,276,276
0,56,62,276,552,0,1,0,2,0,276,276
0,81,39,325,325,0,1,0,2,0,325,325
0,81,39,325,650,0,1,0,2,0,325,325
0,77,76,60,60,0,1,0,2,0,60,60
0,77,76,60,120,0,1,0,2,0,60,60
0,64,22,1162,1162,0,1,0,2,0,1162,1162
0,64,22,1162,2324,0,1,0,2,0,1162,1162
0,82,37,886,886,0,1,0,2,0,886,886
0,82,37,886,1772,0,1,0,2,0,886,886
0,52,72,962.4,1013.6,0,1,6.4,2,0,1020,956
0,52,72,1026.4,2040,0,1,6.4,2,0,1020,956
0,82,70,282,282,0,1,0,2,0,282,282
0,82,70,282,564,0,1,0,2,0,282,282
0,13,87,607,607,0,1,0,2,0,607,607
0,13,87,607,1214,0,1,0,2,0,607,607
0,16,75,967,967,0,1,0,2,0,967,967
0,16,75,967,1934,0,1,0,2,0,967,967
0,27,50,682,682,0,1,0,2,0,682,682
0,27,50,682,1364,0,1,0,2,0,682,682
0,53,31,702,702,0,1,0,2,0,702,702
0,53,31,702,1404,0,1,0,2,0,702,702
0,52,19,400,400,0,1,0,2,0,400,400
0,52,19,400,800,0,1,0,2,0,400,400
0,29,74,721,721,0,1,0,2,0,721,721
0,29,74,721,1442,0,1,0,2,0,721,721
0,9,25,727,727,0,1,0,2,0,727,727
0,9,25,727,1454,0,1,0,2,0,727,727
0,55,66,379,379,0,1,0,2,0,379,379
0,55,66,379,758,0,1,0,2,0,379,379
0,87,48,1262,1262,0,1,0,2,0,1262,1262
0,87,48,1262,2524,0,1,0,2,0,1262,1262
0,17,52,82,82,0,1,0,2,0,82,82
0,17,52,82,164,0,1,0,2,0,82,82
0,12,58,169,169,0,1,0,2,0,169,169
0,12,58,169,338,0,1,0,2,0,169,169
0,74,71,641,641,0,1,0,2,0,641,641
0,74,71,641,1282,0,1,0,2,0,641,641
0,7,15,732,732,0,1,0,2,0,732,732
0,7,15,732,1464,0,1,0,2,0,732,732
0,31,65,1244.3,1262.7,0,1,2.3,2,0,1265,1242
0,31,65,1267.3,2530,0,1,2.3,2,0,1265,1242
