LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,28,0,71,10000,35,0,
1,28,0,0,92,10000,60,0,
2,0,37,0,99,10000,34,0,
3,37,0,0,4,10000,14,0,
4,1,28,0,69,10000,67,0,
5,28,1,0,82,10000,68,0,
6,1,29,0,63,10000,25,0,
7,29,1,0,32,10000,47,0,
8,2,74,0,71,10000,57,0,
9,74,2,0,20,10000,1,0,
10,2,3,0,85,10000,40,0,
11,3,2,0,66,10000,17,0,
12,3,4,0,62,10000,33,0,
13,4,3,0,48,10000,96,0,
14,4,5,0,33,10000,68,0,
15,5,4,0,87,10000,64,0,
16,5,6,0,80,10000,14,0,
17,6,5,0,49,10000,80,0,
18,6,7,0,32,10000,78,0,
19,7,6,0,77,10000,20,0,
20,7,11,0,19,10000,42,0,
21,11,7,0,47,10000,24,0,
22,8,9,0,93,10000,41,0,
23,9,8,0,49,10000,1,0,
24,8,11,0,52,10000,78,0,
25,11,8,0,24,10000,68,0,
26,9,37,0,15,10000,64,0,
27,37,9,0,62,10000,97,0,
28,10,58,0,93,10000,93,0,
29,58,10,0,42,10000,53,0,
30,10,11,0,76,10000,53,0,
31,11,10,0,56,10000,42,0,
32,12,60,0,94,10000,78,0,
33,60,12,0,84,10000,46,0,
34,12,61,0,58,10000,98,0,
35,61,12,0,81,10000,37,0,
36,13,73,0,45,10000,9,0,
37,73,13,0,25,10000,24,0,
38,13,27,0,6,10000,13,0,
39,27,13,0,57,10000,23,0,
40,14,48,0,34,10000,32,0,
41,48,14,0,27,10000,7,0,
42,14,66,0,24,10000,39,0,
43,66,14,0,29,10000,75,0,
44,15,47,0,95,10000,43,0,
45,47,15,0,75,10000,21,0,
46,15,23,0,67,10000,43,0,
47,23,15,0,77,10000,10,0,
48,16,60,0,73,10000,86,0,
49,60,16,0,17,10000,63,0,
50,16,63,0,59,10000,80,0,
51,63,16,0,12,10000,59,0,
52,17,56,0,38,10000,64,0,
53,56,17,0,82,10000,67,0,
54,17,57,0,46,10000,28,0,
55,57,17,0,74,10000,82,0,
56,18,19,0,95,10000,87,0,
57,19,18,0,31,10000,81,0,
58,18,21,0,49,10000,73,0,
59,21,18,0,80,10000,2,0,
60,19,42,0,31,10000,76,0,
61,42,19,0,24,10000,75,0,
62,20,21,0,64,10000,37,0,
63,21,20,0,87,10000,61,0,
64,20,79,0,33,10000,20,0,
65,79,20,0,62,10000,78,0,
66,22,25,0,78,10000,19,0,
67,25,22,0,72,10000,87,0,
68,22,26,0,85,10000,80,0,
69,26,22,0,41,10000,58,0,
70,22,23,0,53,10000,11,0,
71,23,22,0,5,10000,50,0,
72,24,43,0,88,10000,70,0,
73,43,24,0,25,10000,90,0,
74,24,75,0,52,10000,15,0,
75,75,24,0,9,10000,17,0,
76,25,43,0,55,10000,58,0,
77,43,25,0,36,10000,1,0,
78,26,47,0,98,10000,69,0,
79,47,26,0,53,10000,27,0,
80,27,47,0,74,10000,49,0,
81,47,27,0,81,10000,85,0,
82,29,30,0,75,10000,67,0,
83,30,29,0,90,10000,50,0,
84,30,51,0,70,10000,63,0,
85,51,30,0,26,10000,18,0,
86,31,78,0,82,10000,99,0,
