demandID,SourceID,Destination,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
0,9,82,287,338,10,0,0,-1,240
1,1,44,221,230,10,0,0,-1,183
2,5,28,109,119.9,10,0,0,-1,100
3,53,33,143,157.3,10,0,0,-1,128
4,58,13,194.4,204.6,10,0,0,-1,175
5,65,48,55,60.5,10,0,0,-1,48
6,16,11,30,33,10,0,0,-1,52
7,3,53,42,46.2,10,0,0,-1,70
8,73,61,222,244.2,10,0,0,-1,200
9,8,84,240.6,275.4,10,0,0,-1,222
10,74,29,142,156.2,10,0,0,-1,112
11,0,8,46,50.6,10,0,0,-1,18
12,8,45,163,179.3,10,0,0,-1,167
13,42,80,173.4,183.6,10,0,0,-1,125
14,73,24,65,71.5,10,0,0,-1,91
15,0,76,198,217.8,10,0,0,-1,162
16,12,55,141,155.1,10,0,0,-1,186
17,51,71,166,182.6,10,0,0,-1,168
18,72,0,225,247.5,10,0,0,-1,219
19,64,23,225,234,10,0,0,-1,232
