demandID,SourceID,Destination,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
0,2044,6154,103.933,107.067,10,0,0,-1,107
1,6585,684,389.133,404.867,10,0,0,-1,55
2,8363,1697,388.6,404.4,10,0,0,-1,63
3,5118,7617,357.8,372.2,10,0,0,-1,44
4,6087,4343,306.467,318.533,10,0,0,-1,52
5,8791,9228,259.133,268.867,10,0,0,-1,58
6,4274,3401,411.933,429.067,10,0,0,-1,38
7,5890,5536,275.467,286.533,10,0,0,-1,49
8,5156,5391,336.4,349.6,10,0,0,-1,60
9,6422,9587,190.267,196.733,10,0,0,-1,65
