LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,11,0,73,10000,69,16,0|945|1412|2506|4155|5026|5940|6928|8480|8681|8795|9719|10017|10259|11071|14479
1,11,0,0,32,10000,49,9,1|1022|3390|5909|6004|8357|10917|14003|14784
2,0,101,0,54,10000,19,16,2|2266|3955|5219|6491|6541|6572|7221|8771|10305|11260|11758|13461|13501|13511|13962
3,101,0,0,39,10000,8,15,3|623|652|1954|3155|3279|4187|5455|6996|7415|8759|8810|12061|13240|14383
4,0,110,0,69,10000,36,15,4|752|1162|1686|1759|1790|2715|3119|3309|6242|6331|7550|8494|8772|10983
5,110,0,0,65,10000,71,8,5|327|2804|3523|12769|13418|13564|14284
6,0,130,0,86,10000,31,10,6|506|4164|5231|6636|7704|7899|8839|9142|13528
7,130,0,0,76,10000,88,12,7|2436|2475|4154|4365|6528|8131|8773|9215|9741|10014|11139
8,0,224,0,42,10000,72,9,8|2624|2809|2859|2895|4109|4224|4384|5092
9,224,0,0,17,10000,48,14,9|1527|1589|2076|2733|4817|5170|5848|6325|7967|8211|11029|12613|13076
10,0,282,0,8,10000,50,11,10|1493|2417|4501|7544|9405|9409|9744|10246|10709|12968
11,282,0,0,56,10000,23,17,11|1739|3645|4717|4811|5794|6736|9584|9755|9884|11074|11345|12591|12764|12922|13225|14698
12,0,464,0,30,10000,53,9,12|118|2795|8620|8782|9035|10193|14484|14569
13,464,0,0,7,10000,64,12,13|812|2931|3449|4759|6456|7302|8005|8421|8825|8935|11816
14,0,799,0,74,10000,33,14,14|167|923|1339|4273|5064|6311|6396|10492|12789|14525|15015|15061|15410
15,799,0,0,52,10000,18,7,15|608|1007|3518|5408|7868|9260
16,0,841,0,57,10000,64,6,16|800|3503|5922|6358|6860
17,841,0,0,71,10000,75,9,17|400|1024|1867|9601|10173|10615|11380|12357
18,0,884,0,91,10000,16,12,18|1640|1685|2207|2781|3669|3706|6414|12625|12680|13415|13668
19,884,0,0,97,10000,35,7,19|1175|2221|3931|8907|9182|13824
20,0,914,0,83,10000,55,17,20|603|702|1226|1635|2399|3243|3369|4998|5869|6618|10412|10830|13583|14324|14533|14621
21,914,0,0,32,10000,87,10,21|1035|4522|8063|8368|9204|11251|14106|14267|14270
22,0,994,0,69,10000,77,12,22|191|410|1530|2029|2057|7414|7708|8185|9195|12257|14113
23,994,0,0,8,10000,66,17,23|1002|2357|3202|5203|6428|6457|6504|7082|7707|8271|9189|10335|11322|11580|13657|13937
24,0,1087,0,38,10000,62,6,24|2856|4697|6078|7300|7671
25,1087,0,0,72,10000,78,15,25|377|651|1172|1524|2310|3386|4473|4548|6903|9701|11992|12053|12370|12618
26,0,1205,0,44,10000,30,11,26|1177|1783|2605|4467|5333|7571|8704|13414|13576|14427
27,1205,0,0,23,10000,31,9,27|4009|5561|6486|6509|7250|8709|9440|10754
28,0,1247,0,58,10000,42,10,28|1189|1999|2718|6107|8956|8994|9949|11516|13052
29,1247,0,0,79,10000,17,5,29|203|3110|4067|9740
30,0,1319,0,37,10000,71,9,30|622|4977|6054|6116|10392|11992|14390|15144
31,1319,0,0,36,10000,99,8,31|5464|6274|8796|13485|13662|13701|13970
32,0,1476,0,57,10000,89,14,32|3080|3729|3932|4721|4769|5218|6116|6554|8102|9863|10007|11395|12331
33,1476,0,0,26,10000,45,12,33|1108|2953|3236|4519|4543|5427|5435|7005|7800|8482|9891
34,0,1502,0,12,10000,14,7,34|2306|2937|5950|6143|9050|9718
35,1502,0,0,61,10000,43,11,35|1875|2871|2871|4124|4160|5183|6853|9961|12149|14555
36,0,1576,0,20,10000,41,13,36|3654|3832|4486|4663|4709|8183|9646|11174|11285|11329|11540|12269
37,1576,0,0,72,10000,10,6,37|50|440|4336|6513|10493
38,0,1628,0,5,10000,29,11,38|733|1260|2480|3116|3563|5144|10615|11940|12408|12491
39,1628,0,0,54,10000,6,12,39|574|2896|3123|3544|4421|5078|6180|10412|11988|13588|14266
40,0,1660,0,25,10000,41,10,40|383|424|1786|2842|2875|2891|3728|6850|7247
41,1660,0,0,97,10000,63,9,41|53|300|1561|2145|3483|5731|9466|12787
42,0,1748,0,96,10000,29,15,42|583|934|2127|2500|2627|3243|6988|7973|8327|8402|8581|10939|11680|12765
43,1748,0,0,63,10000,23,8,43|1325|4301|8215|9930|10011|11456|14060
44,0,1762,0,82,10000,16,9,44|2402|3731|4207|7559|8942|9777|10425|10825
45,1762,0,0,28,10000,77,11,45|142|314|927|1578|6218|8071|8965|9294|9623|11105
46,0,1830,0,54,10000,81,5,46|4003|5317|9713|10521
47,1830,0,0,14,10000,74,10,47|2049|5415|6246|9461|9638|11483|11948|12961|13370
48,0,1860,0,67,10000,8,11,48|164|970|2018|2922|3860|10651|12893|13040|13580|14599
49,1860,0,0,56,10000,89,10,49|482|1561|3501|6790|8382|8464|8805|10594|12019
50,1,42,0,3,10000,4,7,50|481|3939|5346|10474|10820|13543
51,42,1,0,34,10000,3,13,51|1662|1958|2687|3277|3397|3528|4686|5661|8323|8809|10070|10693
52,1,101,0,53,10000,75,12,52|1608|2122|2610|2703|2709|2715|4344|4856|5358|5797|6253
53,101,1,0,76,10000,72,11,53|2809|9009|9230|9870|10049|10406|11333|11975|13189|13543
54,1,117,0,94,10000,31,9,54|1635|2103|2735|5561|6182|10234|12697|12717
55,117,1,0,43,10000,47,16,55|342|727|1442|2425|2756|4445|6311|8313|8579|9128|9744|10804|10896|12018|13532
56,1,278,0,13,10000,67,14,56|388|616|2143|4147|4699|5003|6638|7874|8494|9149|9254|10313|14222
57,278,1,0,71,10000,60,11,57|2181|2646|4121|10628|11090|12219|12863|13976|14416|14439
58,1,425,0,39,10000,36,14,58|2304|4703|4860|5276|7034|7476|8837|8845|9871|10072|10532|11297|12669
59,425,1,0,60,10000,52,10,59|122|1898|2638|3133|3321|5389|8715|10915|12341
60,1,639,0,48,10000,91,5,60|387|3787|4269|10662
61,639,1,0,82,10000,35,10,61|632|1324|2291|3470|4027|4601|6709|10926|12337
62,1,782,0,74,10000,43,18,62|106|2126|2339|2383|4122|4212|4444|4565|5651|6152|7941|8406|8458|8726|9589|10966|13187
63,782,1,0,33,10000,15,6,63|829|1126|4297|6131|11293
64,1,933,0,63,10000,91,7,64|1228|1718|5750|11975|14268|14354
65,933,1,0,28,10000,70,16,65|253|392|472|505|2746|3567|3952|4872|5276|6456|8363|9313|9561|12191|13932
66,1,1128,0,53,10000,19,7,66|1592|2413|4376|9969|10133|12614
67,1128,1,0,74,10000,32,12,67|197|716|1217|2658|4608|5801|8564|9577|10394|11351|13785
68,1,1228,0,81,10000,8,12,68|1007|1952|2856|2904|5114|5822|6222|6778|6809|11107|11866
69,1228,1,0,90,10000,21,8,69|2555|2707|4338|8312|12830|13690|14809
70,1,1326,0,76,10000,85,9,70|2463|3601|4109|4321|6279|6639|9627|9769
71,1326,1,0,39,10000,42,11,71|573|964|1036|3236|5409|6039|8829|10728|10800|10973
72,1,1350,0,9,10000,39,9,72|1477|6403|6539|6609|7429|9459|11893|14134
73,1350,1,0,85,10000,44,15,73|34|1214|2181|4910|5564|5639|7017|7893|10427|10531|11187|11628|11786|12409
74,1,1797,0,49,10000,65,11,74|1074|5872|7771|8990|9628|10984|12817|12868|12942|13480
75,1797,1,0,18,10000,46,7,75|2052|4297|4930|7791|9693|13291
76,2,364,0,5,10000,84,16,76|142|654|825|927|2132|2692|4743|5528|6620|8018|8791|9901|10685|12637|13698
77,364,2,0,39,10000,87,14,77|1586|2624|4708|7543|7552|8238|9414|9526|10150|10353|11420|14517|14532
78,2,551,0,3,10000,93,8,78|2373|4858|6311|8460|9221|9750|13515
79,551,2,0,65,10000,5,14,79|628|920|3592|3600|4481|4820|5928|6523|9099|9871|10322|12256|13224
80,2,594,0,88,10000,97,10,80|796|7369|8823|9433|10078|11491|12238|12997|13637
81,594,2,0,25,10000,96,10,81|6529|7375|7781|9725|10284|10403|11861|11934|12797
82,2,624,0,25,10000,6,12,82|2406|4332|6263|7691|9399|10627|11309|12459|12768|14993|15500
83,624,2,0,45,10000,44,13,83|460|692|711|1288|2561|6825|10261|11494|11579|12761|14552|14747
84,2,716,0,34,10000,61,9,84|2555|2768|5039|6188|6620|9021|9379|11546
85,716,2,0,52,10000,84,11,85|47|521|787|979|2163|2454|2478|4916|12606|12956
86,2,784,0,13,10000,77,10,86|816|2531|2640|6464|6543|7189|7458|9627|11076
87,784,2,0,52,10000,37,11,87|970|1176|1266|1758|2350|2689|7732|11657|13447|14165
88,2,804,0,8,10000,34,14,88|214|1431|3348|4885|6503|7004|7391|8368|8451|9736|11495|13014|13205
89,804,2,0,32,10000,77,8,89|2458|4751|5897|6599|7440|7885|8541
90,2,937,0,72,10000,89,7,90|4700|6452|7577|7656|8528|13176
91,937,2,0,15,10000,88,5,91|960|2923|5877|6994
92,2,1103,0,70,10000,92,10,92|499|867|4923|5484|5721|6256|9139|9642|14224
93,1103,2,0,45,10000,37,18,93|109|521|1405|2583|2882|4770|4868|5162|6667|7570|9241|9299|9331|10149|11949|12929|13027
94,2,1154,0,52,10000,70,14,94|1205|1687|3008|4735|5730|6400|7118|8636|9015|9843|10223|11044|11535
95,1154,2,0,4,10000,31,9,95|3092|6544|7135|8712|8824|10943|14275|14670
96,2,1260,0,41,10000,98,9,96|2476|3750|5418|5913|6099|8878|9956|10270
97,1260,2,0,73,10000,16,11,97|326|2082|2202|5326|6493|7496|10979|12543|12943|13865
98,2,1301,0,61,10000,44,6,98|7021|7249|10772|11957|13023
99,1301,2,0,6,10000,41,9,99|72|1676|2541|5215|5345|7011|7147|12076
100,2,1449,0,54,10000,28,10,100|1223|1411|2432|2565|4200|5345|9254|9290|11879
101,1449,2,0,67,10000,19,13,101|387|696|2029|2189|3013|3347|5728|5823|9569|11197|11433|12289
102,2,1452,0,79,10000,71,10,102|1664|2208|3566|4361|7711|9893|10132|11856|12530
103,1452,2,0,32,10000,66,11,103|696|1551|1703|2264|3082|3254|6923|7067|9699|12677
104,2,1714,0,56,10000,9,16,104|1576|1580|2187|2322|4726|5641|6273|6512|6541|7160|7304|8567|10685|11572|14231
105,1714,2,0,87,10000,86,9,105|1523|3961|4276|4896|5543|6532|10782|10962
106,2,1737,0,34,10000,92,16,106|840|5665|5780|8170|8804|9886|10101|10864|11050|11384|11980|12433|12618|12655|13082
107,1737,2,0,32,10000,49,8,107|50|2765|5394|5856|6136|8254|12051
108,2,1770,0,43,10000,5,8,108|275|1716|3315|5288|7372|10198|15236
109,1770,2,0,7,10000,82,14,109|463|1206|1671|4628|5842|9270|10374|11297|12519|12560|12584|12589|14671
110,2,1953,0,41,10000,6,12,110|367|2954|4069|4072|6100|7879|8306|8528|11451|12225|12299
111,1953,2,0,33,10000,90,13,111|601|630|2474|2495|2822|7577|7792|7830|8207|9397|10779|12375
112,3,292,0,76,10000,84,11,112|484|2188|2482|2506|2924|3680|5716|6043|8566|14492
113,292,3,0,88,10000,89,11,113|1750|5711|6329|6338|7800|8129|9216|9461|9498|13126
114,3,315,0,64,10000,28,13,114|1200|3451|4122|4203|5947|6193|7545|7800|9478|10567|10717|13940
115,315,3,0,1,10000,15,10,115|2893|4578|7110|7325|7388|10187|10464|12188|12625
116,3,490,0,75,10000,92,13,116|581|2721|3867|4155|4605|4885|6390|7725|7810|8140|8802|9177
117,490,3,0,60,10000,90,9,117|86|4978|6616|6690|7426|13236|13410|14008
118,3,621,0,62,10000,92,12,118|445|492|622|1964|3433|8028|8162|11017|11563|12058|12268
119,621,3,0,68,10000,81,8,119|3269|4553|5800|7479|9832|12078|13243
120,3,790,0,71,10000,99,8,120|937|2003|5476|8824|9248|11731|13243
121,790,3,0,88,10000,66,8,121|2253|5765|6687|7578|9083|10676|11495
122,3,1049,0,12,10000,93,19,122|666|980|2981|4404|5603|6618|6988|7581|8911|9322|9561|10008|11004|12036|12790|12919|13495|13849
123,1049,3,0,40,10000,4,8,123|64|3043|3353|7622|10768|11521|13706
124,3,1101,0,28,10000,15,13,124|480|1788|2003|2504|3190|6038|7785|9912|11154|11181|11615|13406
125,1101,3,0,29,10000,63,9,125|1881|1912|2506|3125|4864|6091|8879|9463
126,3,1435,0,9,10000,15,9,126|254|416|1279|3058|5876|7090|9001|9432
127,1435,3,0,76,10000,71,12,127|378|820|1392|2902|4164|5923|6684|7300|7331|9918|10632
128,3,1591,0,30,10000,51,14,128|805|1507|2434|2647|2718|2787|3900|4123|5073|8743|9797|11034|11324
129,1591,3,0,24,10000,96,8,129|2049|2252|3367|7957|12454|12684|14271
130,3,1603,0,77,10000,71,15,130|580|1481|4049|4781|5143|6773|6950|10878|10976|11118|12231|12578|13665|14634
131,1603,3,0,4,10000,74,13,131|1658|2556|2809|3024|3648|5632|7079|11192|11461|11949|12189|14326
132,3,1639,0,67,10000,40,15,132|160|2190|3324|4812|5788|6392|6631|7985|8347|8354|8546|12018|13329|13618
133,1639,3,0,26,10000,20,10,133|943|1656|2280|4142|5860|7989|8089|10732|12089
134,3,1642,0,53,10000,82,9,134|6676|6724|8075|10119|13115|13879|14399|14623
135,1642,3,0,75,10000,65,10,135|152|2462|3293|4550|6147|6274|9622|13264|13587
136,3,1730,0,99,10000,19,15,136|778|1355|1959|2391|2492|4278|5133|5465|5818|5835|5911|7319|8626|13596
137,1730,3,0,67,10000,52,7,137|314|1191|3275|3384|7032|13876
138,3,1891,0,29,10000,35,13,138|1691|4093|5698|5980|6152|7317|8273|9422|10941|11914|13364|13669
139,1891,3,0,64,10000,65,9,139|1832|6853|9528|11253|11730|12090|12432|12555
140,3,1990,0,67,10000,9,12,140|1390|1436|1822|2231|5267|7737|8447|10876|10893|10930|11396
141,1990,3,0,90,10000,78,3,141|2094|2895
142,4,39,0,74,10000,91,6,142|5215|5964|6464|13167|13958
143,39,4,0,11,10000,80,13,143|285|936|1142|1203|2019|4846|7609|10446|11008|11555|12643|14880
144,4,127,0,79,10000,3,8,144|2249|4315|4401|5209|8618|10428|14175
145,127,4,0,93,10000,95,9,145|333|2399|3140|3192|6100|8364|10042|10753
