LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,1010,0,11,10000,4,0,
1,1010,0,0,11,10000,2,0,
2,0,3636,0,2,10000,15,0,
3,3636,0,0,11,10000,12,0,
4,0,3652,0,6,10000,8,0,
5,3652,0,0,5,10000,19,0,
6,0,3950,0,3,10000,14,0,
7,3950,0,0,4,10000,20,0,
8,1,1239,0,12,10000,17,0,
9,1239,1,0,19,10000,19,0,
10,1,2512,0,16,10000,17,0,
11,2512,1,0,4,10000,3,0,
12,1,3157,0,3,10000,6,0,
13,3157,1,0,9,10000,6,0,
14,1,3663,0,4,10000,12,0,
15,3663,1,0,3,10000,8,0,
16,2,444,0,12,10000,13,0,
17,444,2,0,16,10000,5,0,
18,2,740,0,17,10000,7,0,
19,740,2,0,4,10000,16,0,
20,2,950,0,15,10000,18,0,
21,950,2,0,8,10000,1,0,
22,2,951,0,8,10000,10,0,
23,951,2,0,14,10000,5,0,
24,2,1101,0,12,10000,3,0,
25,1101,2,0,5,10000,15,0,
26,2,1838,0,17,10000,17,0,
27,1838,2,0,15,10000,11,0,
28,2,2498,0,7,10000,14,0,
29,2498,2,0,6,10000,5,0,
30,2,3543,0,5,10000,3,0,
31,3543,2,0,1,10000,16,0,
32,3,92,0,3,10000,18,0,
33,92,3,0,12,10000,5,0,
34,3,690,0,6,10000,4,0,
35,690,3,0,4,10000,11,0,
36,3,1171,0,20,10000,1,0,
37,1171,3,0,18,10000,11,0,
38,3,1614,0,11,10000,11,0,
39,1614,3,0,1,10000,9,0,
40,3,1702,0,15,10000,17,0,
41,1702,3,0,6,10000,7,0,
42,3,1984,0,8,10000,6,0,
43,1984,3,0,14,10000,18,0,
44,3,2235,0,15,10000,19,0,
45,2235,3,0,1,10000,6,0,
46,3,2529,0,14,10000,19,0,
47,2529,3,0,15,10000,5,0,
48,3,2994,0,13,10000,4,0,
49,2994,3,0,6,10000,14,0,
50,3,3188,0,1,10000,12,0,
51,3188,3,0,11,10000,10,0,
