LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,383,0,65,10000,1,2,0|1
1,383,0,0,99,10000,11,1,1
2,0,447,0,71,10000,69,1,2
3,447,0,0,57,10000,85,5,3|1643|1645|1647|1648
4,0,1490,0,7,10000,79,2,4|1
5,1490,0,0,29,10000,28,1,5
6,0,2065,0,51,10000,80,2,6|1
7,2065,0,0,72,10000,96,3,7|8242|8243
8,0,2677,0,15,10000,40,1,8
9,2677,0,0,55,10000,14,1,9
10,0,3120,0,13,10000,2,1,10
11,3120,0,0,78,10000,35,1,11
12,0,3941,0,74,10000,2,1,12
13,3941,0,0,55,10000,51,6,13|15966|15968|15970|15971|15972
14,1,56,0,89,10000,87,2,14|5
15,56,1,0,84,10000,84,3,15|226|228
16,1,965,0,73,10000,74,2,16|3
17,965,1,0,6,10000,29,1,17
18,1,1422,0,13,10000,75,3,18|3|5
19,1422,1,0,77,10000,10,1,19
20,1,2285,0,18,10000,1,5,20|3|4|5|6
21,2285,1,0,81,10000,87,1,21
22,1,2492,0,2,10000,44,5,22|3|4|5|6
23,2492,1,0,79,10000,27,2,23|9991
24,1,2557,0,23,10000,3,2,24|5
25,2557,1,0,98,10000,35,3,25|10254|10256
26,1,3020,0,83,10000,2,1,26
27,3020,1,0,51,10000,97,1,27
28,1,3730,0,20,10000,49,4,28|3|5|6
29,3730,1,0,41,10000,92,2,29|15102
30,2,1715,0,1,10000,63,1,30
31,1715,2,0,44,10000,47,2,31|6810
32,2,1747,0,9,10000,78,1,32
33,1747,2,0,74,10000,82,2,33|6942
34,2,2258,0,50,10000,40,1,34
35,2258,2,0,51,10000,28,2,35|9019
36,3,770,0,70,10000,18,1,36
37,770,3,0,75,10000,45,2,37|3032
38,3,1408,0,4,10000,20,1,38
39,1408,3,0,51,10000,25,2,39|5593
40,3,1949,0,3,10000,52,1,40
41,1949,3,0,69,10000,70,3,41|7801|7802
42,3,3800,0,77,10000,66,1,42
43,3800,3,0,96,10000,36,1,43
44,4,14,0,47,10000,5,1,44
45,14,4,0,95,10000,53,2,45|61
46,4,909,0,92,10000,47,2,46|13
47,909,4,0,25,10000,25,4,47|3591|3594|3599
48,4,1395,0,84,10000,44,2,48|11
49,1395,4,0,98,10000,58,5,49|5553|5554|5555|5556
50,4,1471,0,23,10000,93,2,50|11
51,1471,4,0,51,10000,37,3,51|5846|5848
52,4,1817,0,95,10000,84,3,52|11|12
53,1817,4,0,55,10000,2,1,53
54,4,2229,0,58,10000,59,2,54|11
55,2229,4,0,73,10000,83,1,55
56,4,2622,0,75,10000,71,1,56
57,2622,4,0,91,10000,42,3,57|10481|10484
58,4,2735,0,36,10000,21,2,58|11
59,2735,4,0,67,10000,37,3,59|10981|10984
60,4,3359,0,78,10000,22,2,60|11
61,3359,4,0,2,10000,99,1,61
62,4,3407,0,4,10000,25,1,62
63,3407,4,0,40,10000,95,2,63|13765
64,4,3655,0,50,10000,21,3,64|11|13
65,3655,4,0,56,10000,89,1,65
66,5,1758,0,48,10000,95,1,66
67,1758,5,0,94,10000,2,2,67|6983
68,5,2503,0,4,10000,10,2,68|15
69,2503,5,0,32,10000,24,2,69|10048
70,5,3027,0,70,10000,11,2,70|15
71,3027,5,0,32,10000,33,1,71
72,5,3922,0,82,10000,80,1,72
73,3922,5,0,56,10000,94,1,73
74,6,176,0,39,10000,23,3,74|17|18
75,176,6,0,23,10000,56,3,75|655|656
76,6,353,0,84,10000,84,2,76|18
77,353,6,0,25,10000,74,1,77
78,6,490,0,64,10000,71,3,78|18|19
79,490,6,0,76,10000,95,2,79|1798
80,6,586,0,27,10000,60,3,80|18|20
81,586,6,0,98,10000,70,3,81|2193|2194
82,6,756,0,93,10000,25,4,82|17|18|19
83,756,6,0,45,10000,44,5,83|2940|2941|2947|2948
84,6,1414,0,37,10000,31,1,84
85,1414,6,0,27,10000,71,4,85|5631|5633|5634
86,6,1598,0,70,10000,81,2,86|17
87,1598,6,0,63,10000,98,1,87
88,6,1801,0,79,10000,91,2,88|18
89,1801,6,0,78,10000,33,1,89
90,6,2496,0,66,10000,30,3,90|17|18
91,2496,6,0,38,10000,90,2,91|10012
92,6,2731,0,95,10000,20,1,92
93,2731,6,0,68,10000,91,4,93|10959|10961|10963
94,7,386,0,95,10000,52,5,94|22|26|30|31
95,386,7,0,9,10000,28,1,95
96,7,403,0,58,10000,38,4,96|22|29|31
97,403,7,0,52,10000,12,1,97
98,7,629,0,1,10000,3,1,98
99,629,7,0,32,10000,9,2,99|2381
100,7,730,0,57,10000,48,5,100|26|27|28|29
101,730,7,0,72,10000,5,2,101|2834
102,7,1215,0,75,10000,62,5,102|22|23|24|28
103,1215,7,0,29,10000,46,3,103|4792|4793
104,7,1529,0,25,10000,30,3,104|24|31
105,1529,7,0,8,10000,18,1,105
106,7,2296,0,92,10000,81,2,106|28
107,2296,7,0,28,10000,42,3,107|9142|9143
108,7,2587,0,48,10000,14,3,108|22|25
109,2587,7,0,79,10000,26,1,109
110,7,2632,0,69,10000,12,4,110|24|28|29
111,2632,7,0,31,10000,82,1,111
112,7,2710,0,91,10000,83,3,112|22|26
113,2710,7,0,56,10000,17,1,113
114,7,2720,0,4,10000,34,3,114|25|29
115,2720,7,0,87,10000,21,1,115
116,7,2870,0,13,10000,38,4,116|22|23|27
117,2870,7,0,79,10000,61,1,117
118,7,3799,0,70,10000,56,2,118|29
119,3799,7,0,63,10000,86,2,119|15392
120,8,88,0,92,10000,71,4,120|35|36|37
121,88,8,0,61,10000,64,1,121
122,8,520,0,55,10000,42,3,122|35|37
123,520,8,0,82,10000,7,1,123
124,8,575,0,90,10000,29,2,124|33
125,575,8,0,18,10000,13,4,125|2152|2153|2154
126,8,1290,0,78,10000,4,1,126
127,1290,8,0,78,10000,47,6,127|5120|5121|5124|5128|5136
128,8,1672,0,3,10000,87,2,128|33
129,1672,8,0,71,10000,60,1,129
130,8,1681,0,12,10000,95,2,130|33
131,1681,8,0,44,10000,74,5,131|6694|6695|6700|6701
132,8,2114,0,91,10000,56,2,132|33
133,2114,8,0,89,10000,65,1,133
134,8,2444,0,66,10000,90,3,134|33|35
135,2444,8,0,76,10000,93,4,135|9759|9760|9761
136,8,2497,0,69,10000,42,5,136|33|35|36|37
137,2497,8,0,24,10000,38,2,137|10015
138,8,2869,0,24,10000,68,2,138|33
139,2869,8,0,81,10000,7,1,139
140,8,3708,0,33,10000,78,1,140
141,3708,8,0,66,10000,70,3,141|15007|15010
142,8,3809,0,21,10000,33,5,142|33|35|36|37
143,3809,8,0,79,10000,30,3,143|15427|15428
144,9,128,0,73,10000,52,1,144
145,128,9,0,89,10000,58,1,145
146,9,649,0,54,10000,82,2,146|40
147,649,9,0,76,10000,20,1,147
148,9,1216,0,79,10000,72,2,148|40
149,1216,9,0,39,10000,35,2,149|4796
150,9,2241,0,75,10000,98,2,150|39
151,2241,9,0,46,10000,74,4,151|8945|8951|8954
152,9,2309,0,12,10000,89,3,152|39|40
153,2309,9,0,30,10000,22,2,153|9199
154,9,2472,0,46,10000,81,3,154|39|40
155,2472,9,0,27,10000,51,3,155|9886|9888
156,9,2946,0,80,10000,46,1,156
157,2946,9,0,77,10000,45,2,157|11878
158,10,51,0,20,10000,60,6,158|42|43|44|46|47
159,51,10,0,83,10000,63,2,159|210
160,10,56,0,94,10000,72,4,160|42|45|47
161,56,10,0,95,10000,37,1,161
162,10,93,0,67,10000,25,3,162|42|45
163,93,10,0,36,10000,94,1,163
164,10,336,0,54,10000,49,4,164|43|45|47
165,336,10,0,3,10000,33,1,165
166,10,512,0,43,10000,54,4,166|42|45|47
167,512,10,0,63,10000,2,1,167
168,10,547,0,13,10000,83,4,168|42|44|47
169,547,10,0,88,10000,90,3,169|2041|2042
170,10,1601,0,93,10000,96,1,170
171,1601,10,0,24,10000,2,1,171
172,10,2100,0,34,10000,23,3,172|43|47
173,2100,10,0,70,10000,23,1,173
174,10,2739,0,36,10000,2,3,174|42|43
175,2739,10,0,51,10000,48,1,175
176,10,2857,0,21,10000,9,4,176|42|43|44
177,2857,10,0,80,10000,48,2,177|11492
178,10,3508,0,88,10000,18,5,178|42|43|45|47
179,3508,10,0,5,10000,37,1,179
180,11,350,0,23,10000,97,3,180|49|50
181,350,11,0,16,10000,94,1,181
182,11,1245,0,6,10000,37,3,182|49|50
183,1245,11,0,68,10000,67,1,183
184,11,1256,0,75,10000,68,2,184|50
185,1256,11,0,84,10000,95,1,185
186,11,2649,0,92,10000,69,3,186|49|50
187,2649,11,0,44,10000,54,1,187
188,11,3591,0,20,10000,29,1,188
189,3591,11,0,54,10000,41,1,189
190,11,3592,0,26,10000,24,2,190|50
191,3592,11,0,2,10000,78,1,191
192,12,294,0,38,10000,96,1,192
193,294,12,0,86,10000,9,1,193
194,12,378,0,65,10000,20,1,194
195,378,12,0,72,10000,13,3,195|1401|1403
196,12,641,0,96,10000,99,1,196
197,641,12,0,93,10000,78,3,197|2429|2430
198,12,794,0,8,10000,8,1,198
199,794,12,0,16,10000,87,1,199
200,12,1500,0,23,10000,10,1,200
201,1500,12,0,73,10000,83,2,201|5959
202,12,2360,0,57,10000,68,1,202
203,2360,12,0,95,10000,45,1,203
204,12,2537,0,54,10000,20,1,204
205,2537,12,0,67,10000,75,5,205|10180|10182|10183|10184
206,13,1072,0,52,10000,45,3,206|53|54
207,1072,13,0,66,10000,16,1,207
208,13,1142,0,87,10000,18,3,208|53|54
209,1142,13,0,38,10000,32,4,209|4493|4494|4495
210,13,1995,0,86,10000,95,1,210
211,1995,13,0,92,10000,9,2,211|7999
212,13,2669,0,84,10000,91,3,212|54|55
213,2669,13,0,67,10000,94,3,213|10716|10717
214,13,2949,0,85,10000,18,2,214|53
215,2949,13,0,30,10000,7,4,215|11894|11895|11896
216,13,3046,0,67,10000,49,2,216|55
217,3046,13,0,67,10000,70,3,217|12321|12322
218,14,561,0,2,10000,43,1,218
